LAD22CD,NOx-2013-min,NOx-2013-max,NOx-2013-mean,NOx-2013-std,NOx-2013-median
E09000002,32.884,528.407,48.734,17.892,44.808
E09000003,32.735,608.501,51.522,22.619,47.019
E09000004,33.26,276.975,44.928,13.317,42.444
E09000005,41.341,474.342,59.63,23.687,54.216
E09000006,25.945,264.463,38.412,11.098,36.737
E09000007,48.539,605.205,77.357,34.829,67.355
E09000001,72.606,893.091,123.304,65.698,99.235
E09000008,29.523,392.991,44.823,14.713,41.788
E09000009,37.798,540.667,59.737,25.481,53.769
E09000010,31.703,875.36,46.652,22.145,42.222
E09000011,40.02,527.393,56.404,21.698,51.406
E09000012,47.973,467.422,70.5,27.498,63.325
E09000013,53.205,797.521,74.308,32.849,65.285
E09000014,43.313,438.647,61.024,22.33,55.618
E09000015,32.523,287.568,45.227,12.13,43.158
E09000016,23.437,392.97,37.12,15.899,34.089
E09000017,28.011,9237.618,48.68,31.784,42.903
E09000018,37.627,507.403,56.179,21.35,51.529
E09000019,53.359,431.084,77.596,28.459,69.263
E09000020,56.119,551.971,86.353,37.726,74.783
E09000021,31.902,470.285,49.204,17.657,46.266
E09000022,47.647,592.838,71.011,28.964,63.586
E09000023,40.262,454.116,59.342,20.669,54.677
E09000024,40.71,501.055,53.692,14.884,50.62
E09000025,41.987,719.583,60.872,23.709,55.255
E09000026,29.371,560.829,48.711,21.247,45.035
E09000027,36.893,327.024,49.929,14.199,46.514
E09000028,47.177,519.116,70.675,26.542,64.199
E09000029,34.124,243.963,45.819,11.466,44.092
E09000030,52.309,633.17,75.922,33.959,66.274
E09000031,33.284,586.092,54.677,22.974,49.989
E09000032,43.892,401.336,64.38,21.017,58.999
E09000033,59.069,1161.78,98.685,56.388,83.653
