LAD22CD,NO2-2019-min,NO2-2019-max,NO2-2019-mean,NO2-2019-std,NO2-2019-median
E09000002,21.044,110.132,24.905,3.697,24.073
E09000003,21.146,104.617,26.6,4.963,25.557
E09000004,20.344,86.443,23.896,3.411,23.317
E09000005,24.439,92.27,28.713,4.34,28.155
E09000006,16.76,73.961,21.053,3.127,20.715
E09000007,27.587,190.817,33.956,7.084,32.303
E09000001,35.009,155.457,40.994,10.572,37.819
E09000008,18.621,73.425,23.11,3.601,22.356
E09000009,23.587,94.887,28.409,4.424,27.343
E09000010,20.86,107.067,24.983,4.777,23.979
E09000011,22.683,95.04,27.153,4.442,26.103
E09000012,27.265,111.058,31.83,4.523,30.767
E09000013,27.327,161.666,31.776,5.68,30.391
E09000014,25.641,101.252,28.828,3.585,28.021
E09000015,20.623,65.832,24.152,2.818,23.857
E09000016,16.344,80.495,21.139,3.746,20.425
E09000017,18.294,2320.027,25.869,8.017,24.279
E09000018,22.116,135.563,28.219,5.069,27.343
E09000019,28.453,113.71,33.958,5.258,32.91
E09000020,28.936,139.26,34.704,7.741,32.751
E09000021,19.374,84.262,24.497,3.973,24.27
E09000022,25.16,131.559,30.513,5.016,29.339
E09000023,22.689,84.46,27.282,3.476,26.597
E09000024,22.883,75.696,26.295,3.12,25.679
E09000025,24.174,124.145,29.208,4.668,28.32
E09000026,19.477,99.971,25.474,4.547,24.957
E09000027,21.292,99.996,25.323,3.062,24.658
E09000028,25.51,118.532,31.108,4.793,30.295
E09000029,20.007,82.313,23.438,2.641,23.234
E09000030,28.003,147.003,33.795,6.126,32.383
E09000031,21.341,87.965,27.326,4.406,26.821
E09000032,24.367,95.787,29.21,4.004,28.133
E09000033,30.256,230.518,37.934,8.789,35.965
