LAD22CD,PM10-2019-min,PM10-2019-max,PM10-2019-mean,PM10-2019-std,PM10-2019-median
E09000002,13.86,65.992,15.826,1.856,15.356
E09000003,13.668,58.635,15.717,2.077,15.331
E09000004,13.474,56.67,15.094,1.62,14.819
E09000005,14.976,61.364,16.893,2.253,16.496
E09000006,12.416,37.752,13.943,1.187,13.788
E09000007,15.776,90.161,18.539,3.342,17.431
E09000001,19.714,82.349,23.384,4.604,22.254
E09000008,12.904,39.448,14.902,1.585,14.65
E09000009,15.09,55.106,16.857,2.22,16.284
E09000010,13.604,59.45,15.214,2.2,14.793
E09000011,14.416,50.764,16.503,2.286,15.849
E09000012,15.855,54.039,17.985,2.208,17.394
E09000013,16.155,86.75,18.335,2.966,17.626
E09000014,15.176,76.515,16.55,1.774,16.179
E09000015,13.63,34.493,15.121,1.21,15.036
E09000016,12.15,49.838,14.066,1.746,13.708
E09000017,12.674,122.781,15.086,2.108,14.822
E09000018,13.938,72.242,16.471,2.423,15.874
E09000019,16.304,69.262,19.049,2.61,18.252
E09000020,16.733,68.954,19.053,3.415,18.176
E09000021,13.035,46.577,15.064,1.726,14.887
E09000022,15.424,79.177,17.424,2.394,16.821
E09000023,14.392,49.334,16.208,1.662,15.842
E09000024,14.719,41.048,15.867,1.367,15.584
E09000025,15.335,94.079,18.123,2.97,17.429
E09000026,13.288,52.913,15.574,2.054,15.3
E09000027,13.711,45.254,15.272,1.34,14.924
E09000028,15.289,64.669,17.619,2.191,17.23
E09000029,13.47,55.167,14.863,1.15,14.719
E09000030,16.637,86.004,19.397,3.419,18.464
E09000031,13.807,47.483,16.161,2.1,15.883
E09000032,14.768,55.19,16.816,1.861,16.3
E09000033,17.061,109.096,20.222,3.99,19.217
