LAD22CD,PM10d-2019-min,PM10d-2019-max,PM10d-2019-mean,PM10d-2019-std,PM10d-2019-median
E09000002,2.326,166.777,4.108,3.199,3.485
E09000003,2.19,154.1,4.07,3.824,3.464
E09000004,2.055,149.016,3.426,2.645,3.048
E09000005,3.173,159.857,5.258,5.36,4.504
E09000006,1.371,63.324,2.449,1.18,2.274
E09000007,3.846,176.785,7.436,8.454,5.435
E09000001,8.129,175.793,15.67,15.837,11.956
E09000008,1.677,71.908,3.245,1.915,2.915
E09000009,3.266,144.354,5.204,4.705,4.305
E09000010,2.145,155.969,3.685,4.221,3.027
E09000011,2.735,128.393,4.862,4.265,3.91
E09000012,3.916,140.846,6.384,4.34,5.397
E09000013,4.186,176.458,7.118,7.881,5.642
E09000014,3.336,174.197,4.77,3.635,4.208
E09000015,2.164,48.128,3.368,1.414,3.222
E09000016,1.211,124.424,2.645,2.559,2.218
E09000017,1.53,177.441,3.516,3.184,3.05
E09000018,2.381,172.149,4.879,5.285,3.933
E09000019,4.323,170.029,7.798,5.824,6.332
E09000020,4.731,169.768,8.239,9.815,6.246
E09000021,1.762,109.093,3.415,2.543,3.101
E09000022,3.543,175.057,5.827,4.891,4.817
E09000023,2.717,122.187,4.413,2.933,3.904
E09000024,2.969,80.266,4.04,1.984,3.679
E09000025,3.468,177.031,6.809,7.232,5.433
E09000026,1.93,136.849,3.937,3.695,3.438
E09000027,2.22,102.393,3.515,1.76,3.131
E09000028,3.429,165.112,5.97,4.264,5.227
E09000029,2.053,144.548,3.155,1.582,2.969
E09000030,4.638,176.368,8.669,9.271,6.576
E09000031,2.287,113.54,4.496,4.249,3.941
E09000032,3.007,144.619,5.041,3.164,4.32
E09000033,5.056,177.382,10.016,11.519,7.489
