LSOA11CD,PM25-2019-min,PM25-2019-max,PM25-2019-mean,PM25-2019-std,PM25-2019-median
E01000001,12.721,20.29,13.563,1.596,13.002
E01000002,12.688,20.162,13.065,0.92,12.879
E01000003,12.558,21.677,12.877,0.937,12.722
E01000005,12.406,22.884,13.392,1.416,12.963
E01000006,10.431,11.604,10.606,0.101,10.6
E01000007,10.621,15.247,11.014,0.56,10.834
E01000008,10.658,21.77,11.37,1.081,11.013
E01000009,10.658,13.742,10.986,0.475,10.823
E01000010,10.646,15.412,10.952,0.502,10.793
E01000011,10.552,12.251,10.723,0.162,10.693
E01000012,10.548,12.137,10.682,0.109,10.667
E01000013,10.148,13.849,10.381,0.448,10.262
E01000014,10.101,12.183,10.196,0.204,10.156
E01000015,10.147,11.257,10.231,0.119,10.2
E01000016,10.125,12.162,10.266,0.232,10.209
E01000017,10.166,12.329,10.3,0.24,10.242
E01000018,10.145,10.587,10.223,0.062,10.207
E01000019,10.097,10.579,10.2,0.067,10.188
E01000020,10.162,12.161,10.344,0.255,10.279
E01000021,10.127,13.697,10.398,0.411,10.274
E01000022,10.203,10.462,10.287,0.041,10.278
E01000023,10.191,14.952,10.518,0.488,10.359
E01000024,10.276,13.495,10.537,0.506,10.377
E01000025,10.261,13.023,10.366,0.202,10.323
E01000027,9.598,11.89,9.75,0.203,9.687
E01000028,9.838,10.697,9.933,0.086,9.917
E01000029,9.913,13.264,10.204,0.529,10.054
E01000030,9.764,19.689,10.235,0.813,9.981
E01000031,9.66,28.446,10.131,0.802,9.955
E01000032,9.929,14.776,10.136,0.392,10.04
E01000033,9.925,12.225,10.18,0.254,10.132
E01000034,9.815,11.765,9.978,0.232,9.893
E01000035,10.15,13.943,10.414,0.418,10.303
E01000036,9.885,13.147,10.24,0.256,10.224
E01000037,9.844,11.512,9.987,0.18,9.955
E01000038,9.842,12.122,10.017,0.261,9.967
E01000039,9.733,12.935,9.916,0.211,9.847
E01000040,10.379,12.49,10.556,0.271,10.487
E01000041,10.245,15.426,10.494,0.484,10.375
E01000042,10.269,13.588,10.497,0.354,10.409
E01000043,10.458,15.262,10.792,0.632,10.604
E01000044,10.43,13.458,10.728,0.329,10.638
E01000045,10.327,17.031,11.119,1.203,10.661
E01000046,10.216,10.9,10.319,0.093,10.297
E01000048,10.583,11.25,10.68,0.085,10.665
E01000049,10.616,17.55,11.215,1.049,10.845
