LSOA11CD,PM25-2013-min,PM25-2013-max,PM25-2013-mean,PM25-2013-std,PM25-2013-median
E01000001,17.645,23.13,18.656,1.059,18.196
E01000002,17.574,20.011,17.899,0.423,17.777
E01000003,17.595,20.257,17.877,0.384,17.759
E01000005,17.588,30.743,18.442,1.449,17.914
E01000006,15.629,15.954,15.774,0.067,15.776
E01000007,15.784,18.74,16.188,0.558,16.008
E01000008,15.749,23.671,16.201,0.813,15.945
E01000009,15.798,18.854,16.115,0.488,15.954
E01000010,15.875,18.761,16.106,0.404,15.971
E01000011,15.715,17.451,15.954,0.291,15.888
E01000012,15.713,17.309,15.832,0.148,15.797
E01000013,15.22,18.202,15.548,0.511,15.373
E01000014,15.207,17.88,15.311,0.23,15.26
E01000015,15.137,16.593,15.319,0.211,15.265
E01000016,15.147,16.84,15.294,0.256,15.223
E01000017,15.175,17.048,15.329,0.268,15.26
E01000018,15.163,15.691,15.256,0.071,15.242
E01000019,15.233,15.803,15.333,0.087,15.314
E01000020,15.292,16.527,15.395,0.135,15.354
E01000021,15.261,18.676,15.528,0.412,15.402
E01000022,15.305,15.498,15.374,0.039,15.369
E01000023,15.356,18.815,15.7,0.407,15.555
E01000024,15.357,18.166,15.624,0.485,15.47
E01000025,15.352,17.641,15.52,0.214,15.481
E01000027,14.755,17.551,14.952,0.265,14.882
E01000028,14.946,15.771,15.037,0.08,15.022
E01000029,15.041,18.89,15.404,0.647,15.217
E01000030,14.974,21.613,15.438,0.813,15.165
E01000031,14.867,29.406,15.34,0.723,15.162
E01000032,15.025,17.984,15.196,0.288,15.133
E01000033,14.96,17.252,15.183,0.284,15.117
E01000034,14.919,16.467,15.04,0.206,14.978
E01000035,14.982,17.97,15.314,0.437,15.183
E01000036,14.977,17.559,15.154,0.262,15.098
E01000037,14.971,16.429,15.089,0.18,15.055
E01000038,14.973,16.594,15.133,0.221,15.09
E01000039,14.875,16.384,14.974,0.115,14.962
E01000040,15.547,17.601,15.739,0.302,15.653
E01000041,15.359,17.47,15.651,0.361,15.536
E01000042,15.43,18.039,15.598,0.203,15.556
E01000043,15.587,20.306,15.876,0.54,15.718
E01000044,15.623,20.681,16.031,0.687,15.834
E01000045,15.489,24.851,16.125,1.142,15.741
E01000046,15.397,17.157,15.542,0.216,15.487
E01000048,15.901,16.472,15.976,0.079,15.956
E01000049,15.833,20.81,16.208,0.68,15.993
E01000050,15.845,18.421,16.071,0.394,15.953
E01000051,15.938,18.699,16.229,0.469,16.066
E01000052,15.704,21.119,16.156,0.621,15.951
E01000053,15.447,21.017,15.895,0.712,15.666
E01000054,15.343,15.893,15.425,0.085,15.407
E01000055,15.361,16.085,15.458,0.102,15.433
E01000056,15.356,17.337,15.594,0.208,15.547
E01000057,15.283,16.8,15.492,0.237,15.421
E01000058,15.249,16.235,15.394,0.185,15.35
E01000059,15.318,16.012,15.447,0.111,15.432
E01000060,14.932,18.654,15.177,0.35,15.122
E01000061,14.938,18.74,15.188,0.432,15.056
E01000062,15.101,16.036,15.207,0.107,15.194
E01000063,15.157,18.088,15.375,0.386,15.259
E01000064,15.09,17.783,15.278,0.347,15.177
E01000065,15.164,17.176,15.371,0.348,15.259
E01000066,15.446,18.317,15.568,0.209,15.537
E01000067,15.5,18.53,15.735,0.449,15.593
E01000068,15.583,18.804,15.759,0.301,15.694
E01000069,15.453,16.704,15.577,0.095,15.567
E01000070,15.483,18.855,15.775,0.437,15.667
E01000071,15.449,16.739,15.619,0.149,15.594
E01000072,15.404,18.161,15.523,0.267,15.442
E01000073,15.394,17.097,15.508,0.144,15.486
E01000074,15.344,17.382,15.516,0.333,15.421
E01000075,15.221,17.369,15.363,0.203,15.326
E01000076,15.339,17.335,15.461,0.206,15.408
E01000077,15.312,18.655,15.564,0.442,15.415
E01000078,15.243,18.964,15.558,0.499,15.394
E01000079,15.19,17.87,15.368,0.388,15.258
E01000080,15.212,17.78,15.419,0.351,15.324
E01000081,15.172,15.805,15.249,0.061,15.239
E01000082,15.186,17.224,15.372,0.344,15.264
E01000083,15.275,18.422,15.527,0.414,15.399
E01000084,15.254,17.465,15.521,0.356,15.416
E01000085,15.353,17.626,15.522,0.293,15.451
E01000086,15.319,17.072,15.507,0.297,15.423
E01000087,15.329,18.699,15.607,0.453,15.457
E01000088,15.22,15.823,15.334,0.089,15.323
E01000089,15.223,15.432,15.292,0.041,15.288
