LSOA11CD,NO2-2019-min,NO2-2019-max,NO2-2019-mean,NO2-2019-std,NO2-2019-median
E01000001,36.566,99.753,43.103,14.008,37.446
E01000002,36.269,95.861,38.911,7.911,36.958
E01000003,36.324,102.146,38.778,7.137,37.195
E01000005,35.009,97.698,39.908,9.792,35.803
E01000006,25.608,34.197,26.621,0.792,26.488
E01000007,26.81,57.124,29.643,3.843,28.32
E01000008,27.186,83.009,32.236,6.497,30.041
E01000009,26.743,48.96,29.171,3.337,27.974
E01000010,26.822,57.384,29.129,3.418,28.028
E01000011,26.137,37.402,27.162,1.108,26.959
E01000012,26.29,36.356,27.459,0.917,27.329
E01000013,23.007,54.124,25.1,3.866,23.961
E01000014,23.068,38.622,23.67,1.485,23.411
E01000015,22.49,30.279,23.286,0.958,23.057
E01000016,22.542,38.472,23.695,1.849,23.223
E01000017,23.13,38.934,24.123,1.949,23.617
E01000018,22.533,26.651,23.305,0.58,23.179
E01000019,23.364,26.677,23.87,0.455,23.742
E01000020,23.582,36.863,24.633,1.653,24.175
E01000021,23.587,45.613,25.251,2.688,24.364
E01000022,23.722,25.188,24.212,0.273,24.14
E01000023,23.934,50.662,25.92,2.945,24.913
E01000024,23.974,42.389,25.644,2.98,24.665
E01000025,23.931,40.181,24.708,1.283,24.399
E01000027,21.044,35.888,21.999,1.325,21.599
E01000028,22.227,28.16,22.771,0.574,22.626
E01000029,22.572,42.888,24.467,3.576,23.411
E01000030,21.955,72.143,24.867,4.944,23.195
E01000031,21.319,110.132,24.176,4.551,23.063
E01000032,22.377,51.358,23.773,2.682,23.076
E01000033,21.983,34.983,23.187,1.526,22.836
E01000034,21.653,35.296,22.461,1.526,22.056
E01000035,21.921,44.794,23.782,2.624,22.994
E01000036,21.393,39.919,22.687,1.52,22.498
E01000037,21.889,34.495,22.759,1.416,22.476
E01000038,21.874,40.161,23.17,2.146,22.758
E01000039,21.232,42.296,21.75,1.069,21.517
E01000040,25.387,41.595,26.451,1.751,26.006
E01000041,24.18,57.873,26.14,3.222,25.285
E01000042,24.716,47.081,26.289,2.468,25.673
E01000043,26.102,54.943,28.299,4.133,26.96
E01000044,25.656,42.437,27.928,2.235,27.177
E01000045,25.057,65.862,30.226,7.22,27.465
E01000046,24.223,29.105,24.939,0.64,24.828
E01000048,26.664,31.1,27.375,0.593,27.286
E01000049,26.865,63.846,30.906,6.124,28.674
E01000050,26.716,47.818,28.153,2.843,27.344
E01000051,26.657,50.179,28.876,3.727,27.635
E01000052,27.027,62.197,31.001,5.828,28.68
E01000053,23.815,49.915,26.001,3.15,24.965
E01000054,23.496,28.268,24.302,0.676,24.118
E01000055,24.007,35.473,25.249,1.701,24.772
E01000056,23.398,33.619,24.932,1.555,24.458
E01000057,23.882,42.796,25.283,2.093,24.598
E01000058,23.466,32.629,24.477,1.492,24.012
E01000059,23.37,29.068,23.891,0.652,23.702
E01000060,21.708,67.759,23.39,2.677,22.932
E01000061,21.715,46.925,23.623,3.089,22.715
E01000062,22.6,30.195,23.377,0.919,23.219
E01000063,23.066,46.739,24.332,2.393,23.643
E01000064,22.593,34.585,23.514,1.703,23.024
E01000065,23.023,36.882,24.447,2.119,23.741
E01000066,24.247,47.133,25.062,1.448,24.825
E01000067,24.823,44.324,26.322,2.648,25.486
E01000068,25.313,43.062,26.071,1.199,25.825
E01000069,24.538,42.368,25.715,1.289,25.486
E01000070,25.008,47.518,26.337,2.31,25.729
E01000071,24.526,45.193,26.14,2.252,25.577
