LSOA11CD,NOx-2019-min,NOx-2019-max,NOx-2019-mean,NOx-2019-std,NOx-2019-median
E01000001,60.36,280.432,81.198,47.257,62.872
E01000002,59.658,271.6,67.93,26.944,61.486
E01000003,60.223,299.871,67.62,24.768,62.318
E01000005,56.971,329.421,73.705,36.317,59.294
E01000006,37.461,61.593,40.27,2.394,39.844
E01000007,40.379,145.201,49.177,12.694,44.845
E01000008,41.28,259.456,56.862,22.615,49.376
E01000009,40.221,121.497,47.765,10.88,44.014
E01000010,40.363,148.386,47.352,11.241,43.776
E01000011,38.387,72.411,41.477,3.374,40.848
E01000012,38.773,68.957,42.216,2.774,41.772
E01000013,32.314,148.982,38.614,13.749,34.826
E01000014,31.705,84.873,33.684,5.002,32.898
E01000015,31.016,54.538,33.232,2.851,32.537
E01000016,31.102,84.621,34.54,5.959,33.061
E01000017,32.462,86.131,35.605,6.412,33.923
E01000018,31.054,43.291,33.238,1.672,32.852
E01000019,32.417,41.805,34.049,1.299,33.725
E01000020,33.199,74.022,36.386,4.969,35.053
E01000021,32.945,103.201,37.792,8.118,35.232
E01000022,33.653,37.946,34.989,0.726,34.817
E01000023,33.794,121.075,39.477,8.939,36.489
E01000024,34.298,91.514,39.192,9.134,36.235
E01000025,34.129,84.014,36.235,3.798,35.399
E01000027,27.932,74.181,30.443,3.885,29.242
E01000028,30.639,47.253,32.123,1.576,31.727
E01000029,31.244,95.208,37.057,10.975,33.854
E01000030,29.971,214.723,38.661,16.226,33.395
E01000031,28.36,402.883,36.513,15.427,32.93
E01000032,30.597,125.981,34.731,8.481,32.621
E01000033,30.013,68.69,33.295,4.421,32.235
E01000034,29.159,71.247,31.504,4.614,30.414
E01000035,29.692,101.535,34.941,7.845,32.648
E01000036,28.529,85.134,31.902,4.417,31.13
E01000037,29.97,69.65,32.801,4.339,31.948
E01000038,29.815,86.371,33.742,6.483,32.495
E01000039,28.25,91.699,29.608,3.125,28.957
E01000040,37.035,86.826,40.17,5.298,38.893
E01000041,34.416,153.483,40.063,10.586,37.406
E01000042,35.393,109.75,39.968,7.46,38.171
E01000043,39.18,140.873,46.224,13.893,41.857
E01000044,37.663,91.313,44.721,7.185,42.178
E01000045,36.888,201.162,53.417,25.654,43.857
E01000046,34.506,47.826,36.559,1.769,36.257
E01000048,40.09,53.587,42.416,1.795,42.205
E01000049,41.087,179.033,54.201,21.406,46.628
E01000050,40.458,111.608,44.876,9.102,42.378
E01000051,40.042,120.138,46.848,12.217,42.836
E01000052,41.771,174.884,54.742,20.449,46.876
E01000053,34.413,153.973,41.931,12.426,38.016
E01000054,32.874,46.318,35.139,1.889,34.625
E01000055,33.949,68.321,37.642,4.967,36.291
E01000056,32.655,66.785,37.3,4.791,35.814
E01000057,33.663,90.469,37.584,6.013,35.725
E01000058,32.916,58.38,35.596,4.119,34.304
E01000059,32.765,48.438,34.295,1.792,33.791
E01000060,29.146,228.704,33.937,9.36,32.339
E01000061,29.169,114.368,34.658,9.832,31.779
E01000062,31.415,53.998,33.504,2.717,33.012
E01000063,32.399,114.569,36.325,7.716,34.135
E01000064,31.387,67.115,34.076,5.054,32.611
E01000065,32.345,75.649,36.422,6.615,34.204
E01000066,34.294,107.783,36.605,4.503,35.931
E01000067,35.901,98.797,40.293,8.249,37.768
E01000068,36.187,98.486,38.534,3.821,37.738
E01000069,34.778,87.428,38.039,3.647,37.402
E01000070,35.583,109.224,39.557,7.05,37.822
E01000071,34.728,96.558,39.129,6.589,37.471
E01000072,33.948,133.196,37.459,8.42,35.209
E01000073,33.883,87.061,35.809,3.535,35.002
E01000074,34.248,90.734,38.025,7.689,35.802
E01000075,32.176,146.887,35.877,7.299,34.402
E01000076,34.146,87.499,36.321,4.398,35.396
E01000077,34.01,174.575,40.522,14.147,36.491
E01000078,33.351,101.64,39.999,10.808,36.398
E01000079,31.68,59.537,33.652,3.329,32.919
E01000080,31.915,94.899,36.559,7.651,34.507
E01000081,32.289,46.765,33.783,1.482,33.493
E01000082,32.601,83.129,36.997,8.686,34.319
E01000083,33.491,107.58,39.059,8.636,36.362
E01000084,32.911,107.738,37.704,8.754,35.127
E01000085,33.424,83.61,37.049,6.829,35.379
E01000086,32.791,75.039,36.262,6.569,34.304
E01000087,34.598,121.671,41.659,12.694,37.101
E01000088,31.762,74.335,36.025,6.556,34.466
E01000089,31.788,37.422,33.988,1.116,33.854
E01000090,32.273,197.971,39.399,13.098,35.681
E01000091,34.402,47.839,36.769,2.477,36.004
E01000092,32.359,199.543,37.939,14.891,34.0
E01000093,34.78,158.885,48.12,19.756,41.604
E01000094,32.946,60.128,34.763,2.698,33.853
E01000095,32.376,166.423,40.263,14.638,35.57
E01000096,35.361,149.531,48.193,19.686,41.078
E01000097,33.937,88.313,38.814,7.577,36.293
E01000098,33.948,78.146,38.272,6.822,36.14
E01000099,31.293,74.638,34.692,4.449,33.727
E01000100,31.454,85.982,34.337,6.632,32.94
E01000101,31.987,118.223,37.638,11.699,34.203
E01000102,31.544,74.526,34.305,4.204,33.33
E01000103,29.969,80.24,32.613,4.725,31.549
E01000104,30.378,130.577,39.318,12.471,34.907
E01000105,31.617,113.449,35.578,7.642,33.858
E01000106,31.522,54.545,33.717,2.864,33.09
E01000107,28.478,44.477,29.972,1.432,29.59
E01000108,29.505,98.588,33.91,7.242,32.223
E01000109,31.06,83.032,33.427,4.384,32.582
E01000110,30.958,107.81,35.842,8.789,33.759
E01000111,31.468,106.776,37.408,8.835,34.922
E01000112,32.008,140.686,38.169,11.83,34.379
E01000113,33.274,126.482,39.612,12.094,36.017
