LSOA21CD,PM10d-2016-min,PM10d-2016-max,PM10d-2016-mean,PM10d-2016-std,PM10d-2016-median
E01000001,12.727,68.593,19.394,14.094,13.653
E01000002,12.368,68.251,15.483,9.297,13.075
E01000003,12.239,60.605,14.346,6.871,12.829
E01000005,11.877,68.593,19.267,15.473,12.684
E01000006,5.761,6.867,6.09,0.216,6.065
E01000007,6.088,30.387,7.918,3.935,6.79
E01000008,6.114,64.238,8.617,6.334,6.937
E01000009,6.091,35.409,7.826,4.251,6.665
E01000011,5.901,20.337,6.969,1.999,6.543
E01000012,5.903,21.277,6.412,1.28,6.199
E01000013,4.824,25.836,6.177,3.134,5.275
E01000014,4.91,23.771,5.243,1.216,5.041
E01000015,4.734,11.034,5.192,0.8,4.981
E01000016,4.704,12.329,5.172,1.141,4.894
E01000017,4.761,14.963,5.219,1.076,4.981
E01000018,4.716,6.834,4.958,0.24,4.881
E01000019,4.88,6.919,5.197,0.31,5.128
E01000020,5.017,11.876,5.452,0.684,5.239
E01000021,5.166,30.388,6.513,2.602,5.852
E01000022,5.211,6.409,5.578,0.239,5.538
E01000024,5.55,30.45,6.921,2.979,6.128
E01000025,5.701,18.191,6.69,1.157,6.524
E01000027,3.831,20.263,4.238,1.102,4.034
E01000028,4.012,6.141,4.194,0.162,4.161
E01000029,4.208,29.042,5.381,3.159,4.582
E01000030,4.0,52.694,5.35,3.971,4.358
E01000031,3.831,68.572,5.495,4.501,4.476
E01000032,4.276,25.407,4.846,1.371,4.569
E01000033,4.417,22.258,5.205,1.584,4.916
E01000034,4.107,12.102,4.618,0.802,4.346
E01000035,4.871,28.011,6.085,2.561,5.45
E01000036,4.688,26.931,5.48,1.439,5.277
E01000037,4.126,9.614,4.452,0.701,4.309
E01000038,4.216,10.265,4.553,0.619,4.434
E01000039,4.011,11.086,4.622,0.606,4.476
E01000040,5.643,22.611,6.339,1.807,5.947
E01000041,5.309,19.922,6.343,1.888,5.833
E01000042,5.439,21.482,5.912,1.014,5.715
E01000043,5.869,45.969,7.33,4.268,6.282
E01000044,5.757,60.394,7.502,5.968,6.279
E01000045,5.626,68.174,9.578,9.522,6.392
E01000046,5.444,17.719,5.982,1.31,5.676
E01000049,6.342,54.305,9.429,7.697,7.032
E01000050,6.149,29.757,7.324,3.0,6.579
E01000051,6.273,39.768,8.06,4.521,6.776
E01000052,6.215,50.322,9.099,5.786,7.123
E01000053,5.838,62.155,8.728,5.458,7.296
E01000054,5.392,7.883,5.772,0.379,5.679
E01000055,5.33,8.157,5.748,0.424,5.644
E01000056,5.604,21.766,7.13,1.455,6.801
E01000057,5.096,13.474,5.803,1.033,5.532
E01000058,5.041,9.593,5.54,0.74,5.395
E01000059,5.299,9.712,6.031,0.553,5.971
E01000060,4.224,30.708,5.07,1.957,4.772
E01000061,4.221,30.628,5.17,2.537,4.592
E01000062,4.692,8.832,4.94,0.447,4.873
E01000063,4.757,23.952,5.553,1.993,5.023
E01000064,4.688,20.621,5.346,1.734,4.919
E01000065,4.761,17.174,5.596,2.072,4.986
E01000066,5.692,32.995,6.585,1.642,6.448
E01000067,5.735,32.816,7.242,3.832,6.258
E01000068,5.523,30.202,6.221,2.053,5.855
E01000069,5.67,12.957,5.87,0.378,5.79
E01000070,5.392,32.406,6.444,2.595,5.887
E01000071,5.505,13.917,5.938,0.779,5.766
E01000072,5.431,26.622,6.133,1.287,5.839
E01000073,5.903,10.799,6.685,0.605,6.677
E01000074,5.556,17.484,6.21,1.472,5.909
E01000075,4.948,16.676,5.424,0.947,5.226
