LSOA11CD,NOx-2013-min,NOx-2013-max,NOx-2013-mean,NOx-2013-std,NOx-2013-median
E01000001,74.384,368.453,117.539,47.336,96.842
E01000002,72.606,191.722,86.592,17.348,81.635
E01000003,74.316,189.02,85.855,16.852,80.615
E01000005,76.567,893.091,131.781,89.377,101.013
E01000006,46.913,57.438,51.333,2.2,51.327
E01000007,53.603,164.944,67.777,17.549,61.503
E01000008,52.994,333.414,69.142,28.315,59.954
E01000009,51.263,176.081,63.22,17.996,57.325
E01000010,52.866,164.72,65.204,17.423,58.944
E01000011,48.721,127.238,58.724,13.224,55.724
E01000012,50.749,121.878,59.653,11.467,56.606
E01000013,41.104,164.069,52.334,18.571,46.023
E01000014,39.46,120.003,43.959,8.148,42.172
E01000015,39.042,84.596,43.8,6.556,42.093
E01000016,39.35,100.895,45.473,9.334,43.169
E01000017,40.852,117.578,46.982,10.252,44.261
E01000018,39.092,58.406,42.877,2.568,42.442
E01000019,40.552,59.964,44.526,2.826,44.052
E01000020,42.624,93.24,47.131,5.547,45.505
E01000021,41.947,159.957,49.972,12.982,45.967
E01000022,43.681,49.792,45.989,1.034,45.874
E01000023,43.26,161.017,52.198,13.029,47.988
E01000024,44.927,130.865,52.972,14.328,48.521
E01000025,44.316,110.507,48.669,6.031,47.452
E01000027,32.884,112.71,37.428,7.914,35.135
E01000028,36.928,60.546,39.57,2.131,39.236
E01000029,39.125,192.677,49.739,19.307,44.273
E01000030,36.024,258.345,49.566,24.551,41.53
E01000031,33.373,528.407,47.917,27.086,40.902
E01000032,37.345,133.783,43.161,9.234,41.377
E01000033,37.083,99.171,43.229,7.492,41.486
E01000034,35.577,83.526,39.562,6.361,37.828
E01000035,36.363,127.854,46.339,13.047,42.409
E01000036,34.978,116.404,40.942,8.257,39.057
E01000037,37.404,82.248,42.27,5.54,41.345
E01000038,37.104,89.859,43.199,7.133,41.849
E01000039,34.542,80.057,36.463,3.587,35.537
E01000040,45.709,117.05,52.827,10.048,50.043
E01000041,44.45,136.579,55.071,15.619,50.274
E01000042,43.405,121.537,49.629,7.37,47.946
E01000043,48.347,219.625,60.166,20.131,53.621
E01000044,46.865,198.656,63.998,22.907,55.74
E01000045,46.819,372.269,68.095,39.76,54.395
E01000046,45.625,120.53,50.345,9.13,47.764
E01000048,51.147,76.585,54.385,3.015,53.703
E01000049,52.538,235.236,66.167,25.33,57.24
E01000050,52.232,162.051,62.153,16.253,57.012
E01000051,51.873,170.105,64.741,19.506,58.129
E01000052,55.276,249.404,72.081,24.506,62.859
E01000053,45.493,302.622,62.197,30.18,52.058
E01000054,42.824,59.331,46.124,2.215,45.948
E01000055,43.523,65.712,47.19,2.931,46.278
E01000056,42.614,115.665,49.457,7.061,47.561
E01000057,41.796,105.891,49.707,9.735,46.867
E01000058,41.419,78.186,46.651,6.743,44.862
E01000059,42.454,65.782,45.87,3.297,45.204
E01000060,35.472,148.878,42.409,10.544,40.869
E01000061,35.541,140.638,42.349,12.182,38.532
E01000062,39.942,75.999,42.981,3.905,42.433
E01000063,41.053,132.428,47.604,11.562,44.2
E01000064,39.76,126.264,45.469,10.272,42.394
E01000065,40.542,113.947,47.154,10.821,43.875
E01000066,43.119,135.07,47.931,6.712,47.235
E01000067,46.553,145.102,54.589,14.229,50.374
E01000068,44.298,145.93,50.138,9.566,48.029
E01000069,43.123,90.211,48.114,3.262,47.973
E01000070,43.409,165.767,53.089,15.062,49.649
E01000071,42.885,94.544,48.574,5.669,47.439
E01000072,42.083,124.938,46.387,8.067,43.406
E01000073,43.038,86.337,46.361,3.96,45.667
E01000074,44.217,95.603,48.729,8.367,46.466
E01000075,39.666,109.828,45.285,7.647,43.87
E01000076,43.794,92.005,47.453,5.866,46.296
E01000077,43.587,168.285,52.513,15.137,47.96
E01000078,42.535,162.552,52.223,14.97,47.26
E01000079,39.462,120.178,45.869,11.577,43.309
