LSOA21CD,PM10d-2013-min,PM10d-2013-max,PM10d-2013-mean,PM10d-2013-std,PM10d-2013-median
E01000001,17.693,79.206,25.594,10.088,21.212
E01000002,17.269,34.632,19.493,3.058,18.548
E01000003,17.442,40.611,19.471,3.267,18.442
E01000005,17.592,173.695,26.746,17.703,20.904
E01000006,10.5,12.018,11.036,0.32,11.015
E01000007,11.146,31.847,13.462,3.785,12.253
E01000008,11.174,120.694,14.629,9.098,12.475
E01000009,11.072,34.344,13.07,3.592,11.929
E01000011,10.818,23.027,12.193,2.044,11.678
E01000012,10.824,22.247,11.501,1.017,11.32
E01000013,9.094,32.247,11.028,3.612,9.839
E01000014,9.118,28.999,9.68,1.6,9.331
E01000015,8.807,17.231,9.588,1.185,9.248
E01000016,8.836,20.449,9.66,1.719,9.228
E01000017,9.022,21.687,9.868,1.757,9.413
E01000018,8.845,11.729,9.286,0.378,9.198
E01000019,9.148,12.481,9.605,0.501,9.481
E01000020,9.368,17.709,10.001,0.966,9.7
E01000021,9.271,34.212,10.645,2.717,9.849
E01000022,9.417,10.305,9.72,0.174,9.69
E01000024,9.617,31.169,11.211,3.356,10.175
E01000025,9.603,25.364,10.349,1.397,10.068
E01000027,7.704,25.747,8.49,1.485,8.117
E01000028,8.309,12.282,8.654,0.295,8.6
E01000029,8.654,44.777,10.554,4.274,9.369
E01000030,8.346,63.669,10.753,5.684,9.084
E01000031,7.965,171.931,10.683,6.697,9.164
E01000032,8.498,29.067,9.344,1.908,8.938
E01000033,8.315,27.383,9.338,1.822,8.943
E01000034,8.171,16.334,8.707,1.056,8.414
E01000035,8.361,28.335,9.967,2.745,9.134
E01000036,8.2,25.364,9.038,1.497,8.783
E01000037,8.347,15.464,8.914,0.928,8.733
E01000038,8.383,17.026,9.099,1.063,8.898
E01000039,8.04,16.0,8.336,0.61,8.223
E01000040,10.279,23.367,11.232,1.659,10.765
E01000041,9.695,25.209,11.341,2.499,10.552
E01000042,9.899,28.129,10.772,1.358,10.489
E01000043,10.768,68.494,12.695,5.176,11.373
E01000044,10.482,56.616,12.816,5.516,11.352
E01000045,10.295,149.273,16.372,16.398,11.672
E01000046,9.905,23.733,10.735,1.626,10.309
E01000049,11.556,92.861,15.518,10.448,12.449
E01000050,11.183,31.228,12.678,2.911,11.878
E01000051,11.515,34.599,13.627,3.83,12.298
E01000052,11.206,83.4,14.668,6.76,12.484
E01000053,9.864,94.796,12.918,7.498,10.858
E01000054,9.492,12.221,9.861,0.407,9.757
E01000055,9.591,13.342,10.159,0.548,10.018
E01000056,9.487,22.974,10.7,1.383,10.292
E01000057,9.41,19.662,10.496,1.589,10.026
E01000058,9.258,14.609,9.929,1.004,9.628
E01000059,9.445,14.002,9.949,0.664,9.79
E01000060,8.211,34.968,9.413,2.312,8.967
E01000061,8.237,35.745,9.574,2.919,8.734
E01000062,8.775,14.083,9.241,0.595,9.158
E01000063,9.02,30.468,10.242,2.531,9.476
E01000064,8.772,26.448,9.729,2.112,9.114
E01000065,9.023,21.81,10.137,2.211,9.433
E01000066,9.865,31.889,10.452,1.453,10.244
E01000067,10.092,34.018,11.708,3.588,10.593
E01000068,10.271,36.117,11.197,2.258,10.721
E01000069,9.884,19.066,10.423,0.552,10.346
E01000070,10.039,35.834,11.519,2.933,10.757
E01000071,9.915,19.443,10.673,1.035,10.44
E01000072,9.758,28.929,10.397,1.638,9.91
E01000073,9.71,21.876,10.215,0.935,10.02
E01000074,9.587,22.559,10.454,1.975,9.918
E01000075,9.159,23.316,9.862,1.251,9.598
E01000076,9.599,22.049,10.215,1.25,9.9
E01000077,9.557,28.721,10.946,2.678,10.065
E01000078,9.235,39.767,11.175,3.72,10.001
E01000079,9.08,28.851,10.128,2.758,9.381
E01000080,9.161,28.077,10.322,2.305,9.713
E01000081,9.011,11.319,9.342,0.26,9.288
E01000082,9.019,22.239,10.018,2.068,9.394
E01000083,9.377,32.896,10.827,2.948,9.955
E01000084,9.284,24.292,10.675,2.335,9.954
E01000085,9.491,26.53,10.488,2.033,10.015
E01000086,9.478,21.504,10.478,2.141,9.85
E01000087,9.474,46.332,11.265,3.988,10.056
E01000088,9.005,12.799,9.514,0.524,9.426
E01000089,8.994,9.972,9.323,0.19,9.288
E01000090,8.764,45.81,10.253,3.536,9.34
E01000091,9.809,11.95,10.292,0.488,10.086
E01000093,9.836,144.033,14.943,12.934,11.19
E01000094,9.591,13.152,10.383,0.46,10.392
