LSOA21CD,NO2-2019-min,NO2-2019-max,NO2-2019-mean,NO2-2019-std,NO2-2019-median
E01000001,36.56,99.753,42.849,13.774,37.413
E01000002,36.269,95.861,38.842,7.779,36.952
E01000003,36.324,102.146,38.78,7.161,37.21
E01000005,35.009,97.698,39.982,9.863,35.827
E01000006,25.608,34.197,26.619,0.793,26.487
E01000007,26.81,57.124,29.664,3.918,28.329
E01000008,27.244,83.009,32.13,6.559,30.028
E01000009,26.72,48.96,29.211,3.411,27.958
E01000011,26.116,37.402,27.152,1.117,26.958
E01000012,26.29,41.165,27.501,1.174,27.329
E01000013,23.007,54.124,25.091,3.861,23.956
E01000014,23.068,38.622,23.67,1.488,23.412
E01000015,22.49,30.279,23.297,0.97,23.062
E01000016,22.542,38.472,23.676,1.841,23.222
E01000017,23.13,38.934,24.118,1.931,23.625
E01000018,22.533,26.651,23.298,0.582,23.168
E01000019,23.364,26.677,23.874,0.457,23.742
E01000020,23.582,36.863,24.748,1.894,24.211
E01000021,23.587,45.613,25.211,2.675,24.347
E01000022,23.722,25.172,24.21,0.266,24.139
E01000024,23.974,42.389,25.621,2.953,24.665
E01000025,23.931,40.181,24.682,1.269,24.391
E01000027,21.044,35.888,21.996,1.318,21.596
E01000028,22.227,28.16,22.732,0.466,22.612
E01000029,22.607,42.888,24.489,3.565,23.426
E01000030,21.955,72.143,24.825,4.895,23.187
E01000031,21.319,110.132,24.205,4.575,23.076
E01000032,22.377,51.358,23.819,2.901,23.077
E01000033,21.99,31.851,23.105,1.122,22.825
E01000034,21.646,35.296,22.464,1.548,22.051
E01000035,21.921,44.794,23.812,2.646,23.007
E01000036,21.393,39.919,22.679,1.503,22.497
E01000037,21.861,34.495,22.759,1.387,22.476
E01000038,21.874,40.161,23.117,2.05,22.748
E01000039,21.232,42.296,21.758,1.103,21.518
E01000040,25.387,41.595,26.355,1.446,26.002
E01000041,24.18,57.873,26.154,3.226,25.292
E01000042,24.716,47.081,26.295,2.458,25.679
E01000043,26.102,54.347,28.315,4.061,26.976
E01000044,25.656,42.437,27.919,2.22,27.189
E01000045,25.053,65.862,30.471,7.579,27.496
E01000046,24.223,29.105,24.938,0.639,24.828
E01000049,26.865,65.754,31.266,7.004,28.698
E01000050,26.716,47.818,28.149,2.831,27.353
E01000051,26.657,50.179,28.977,3.841,27.65
E01000052,27.027,62.197,30.881,5.417,28.74
E01000053,23.789,42.392,25.969,2.881,24.997
E01000054,23.496,28.268,24.298,0.674,24.118
E01000055,24.007,35.473,25.246,1.698,24.771
E01000056,23.398,35.272,25.067,1.885,24.455
E01000057,23.882,42.796,25.272,2.079,24.614
E01000058,23.466,32.629,24.493,1.515,24.019
E01000059,23.37,29.068,23.892,0.65,23.705
E01000060,21.708,47.583,23.419,2.557,22.941
E01000061,21.715,46.925,23.639,3.127,22.712
E01000062,22.6,30.195,23.375,0.917,23.22
E01000063,23.066,46.739,24.397,2.502,23.681
E01000064,22.593,34.983,23.544,1.861,23.019
E01000065,23.023,36.882,24.439,2.12,23.738
E01000066,24.247,47.133,25.061,1.439,24.827
E01000067,24.823,45.09,26.465,2.987,25.511
E01000068,25.313,43.062,26.08,1.209,25.825
E01000069,24.538,42.368,25.717,1.312,25.476
E01000070,25.008,47.518,26.311,2.229,25.727
E01000071,24.534,45.193,26.136,2.247,25.578
E01000072,24.111,52.964,25.34,2.607,24.653
E01000073,24.038,40.701,24.696,1.283,24.387
E01000074,24.004,41.911,25.254,2.408,24.567
E01000075,23.301,55.93,24.59,2.267,24.125
E01000076,24.065,40.893,24.825,1.326,24.529
E01000077,23.887,51.646,25.804,3.624,24.708
E01000078,23.521,58.642,25.852,3.879,24.601
E01000079,23.068,32.528,23.678,1.163,23.353
E01000080,23.167,42.235,24.682,2.444,24.014
E01000081,23.119,27.213,23.661,0.546,23.557
E01000082,23.199,39.172,24.642,2.697,23.825
E01000083,23.599,45.722,25.454,2.688,24.624
E01000084,23.436,44.682,24.935,2.608,24.123
E01000085,23.438,37.934,24.594,2.001,24.096
E01000086,23.372,35.847,24.484,2.037,23.815
E01000087,23.857,47.857,26.054,3.742,24.688
E01000088,22.905,36.098,24.279,2.031,23.786
E01000089,22.815,24.78,23.566,0.402,23.499
E01000090,22.934,68.277,25.506,3.976,24.356
E01000091,24.264,30.036,25.104,0.878,24.794
E01000093,24.47,56.104,28.523,5.375,26.791
E01000094,23.579,32.815,24.307,0.931,23.997
E01000095,23.394,53.144,25.794,4.4,24.349
E01000096,24.558,54.974,28.416,5.461,26.453
E01000097,23.712,40.22,25.345,2.381,24.525
E01000098,23.708,37.216,25.201,2.133,24.519
E01000099,22.762,36.593,23.947,1.452,23.614
E01000100,22.833,39.683,23.696,1.88,23.283
E01000101,22.967,45.124,24.429,2.863,23.621
E01000102,22.867,36.865,23.856,1.444,23.487
E01000103,22.125,38.76,23.116,1.673,22.765
E01000104,22.15,52.437,25.213,3.996,23.823
E01000105,22.825,45.887,24.114,2.31,23.559
E01000106,22.672,32.405,23.482,1.098,23.235
E01000107,21.348,27.094,21.945,0.559,21.811
E01000108,21.826,43.81,23.399,2.424,22.853
E01000110,22.508,46.271,24.06,2.733,23.397
E01000111,22.713,45.538,24.645,2.834,23.826
E01000112,23.004,54.477,24.985,3.65,23.737
E01000113,23.368,51.469,25.355,3.463,24.287
E01000114,22.155,67.759,24.871,4.562,23.694
E01000115,23.703,46.332,25.147,2.122,24.66
E01000116,23.68,43.958,25.272,2.057,24.834
E01000117,24.133,37.803,25.341,1.737,24.871
E01000118,24.311,51.31,26.854,3.386,25.754
E01000119,24.321,26.909,24.727,0.378,24.599
E01000120,24.401,43.695,25.402,2.123,24.894
E01000121,24.473,36.004,25.187,1.099,24.926
E01000122,24.476,31.888,25.443,0.981,25.204
E01000123,24.724,36.232,25.642,1.069,25.405
E01000124,25.575,59.747,28.084,3.387,26.954
E01000126,25.474,33.585,26.267,0.973,25.975
E01000127,24.98,37.575,25.831,1.334,25.479
E01000128,25.327,31.987,25.992,0.801,25.735
E01000129,25.162,50.624,28.735,4.704,26.979
E01000130,25.422,39.2,26.677,2.144,25.975
E01000131,25.215,49.526,26.069,1.984,25.638
E01000132,24.975,37.794,25.806,1.268,25.537
E01000133,25.345,38.468,26.468,1.794,25.968
E01000134,24.996,41.863,26.272,2.138,25.634
E01000135,28.158,72.413,30.554,5.533,28.917
E01000136,27.869,42.355,28.882,1.49,28.564
E01000137,28.491,48.428,30.245,2.36,29.498
E01000138,28.391,65.317,33.123,7.677,30.193
E01000139,28.362,87.304,31.339,6.219,29.328
E01000140,28.932,56.756,31.981,3.406,30.801
