LSOA21CD,PM10-2019-min,PM10-2019-max,PM10-2019-mean,PM10-2019-std,PM10-2019-median
E01000001,21.401,43.266,23.783,4.297,22.331
E01000002,21.6,42.033,22.696,2.531,22.205
E01000003,20.947,48.336,21.895,2.812,21.451
E01000005,20.569,61.689,23.963,4.975,22.484
E01000006,15.846,18.664,16.258,0.26,16.222
E01000007,16.228,28.554,17.471,1.653,16.961
E01000008,16.438,53.606,18.818,3.56,17.738
E01000009,16.395,26.022,17.404,1.555,16.865
E01000011,16.055,21.177,16.61,0.604,16.489
E01000012,16.032,23.008,16.479,0.499,16.408
E01000013,15.003,25.94,15.678,1.34,15.325
E01000014,14.903,21.771,15.146,0.658,15.007
E01000015,15.123,18.69,15.583,0.425,15.476
E01000016,15.146,21.778,15.505,0.736,15.326
E01000017,15.053,22.344,15.478,0.791,15.288
E01000018,15.127,16.407,15.325,0.178,15.285
E01000019,14.897,16.169,15.112,0.18,15.066
E01000020,15.029,20.482,15.543,0.818,15.306
E01000021,14.996,25.378,15.701,1.21,15.331
E01000022,15.123,15.724,15.354,0.108,15.341
E01000024,15.309,25.239,16.164,1.578,15.667
E01000025,15.327,23.749,15.608,0.616,15.475
E01000027,13.86,20.35,14.256,0.586,14.082
E01000028,14.362,16.799,14.57,0.192,14.527
E01000029,14.553,24.18,15.285,1.541,14.815
E01000030,14.208,41.633,15.43,2.263,14.715
E01000031,13.956,65.992,15.175,2.225,14.67
E01000032,14.468,28.925,15.032,1.283,14.72
E01000033,15.334,19.26,16.077,0.544,15.97
E01000034,14.779,20.739,15.56,0.916,15.157
E01000035,15.651,26.624,17.52,1.299,17.324
E01000036,15.793,25.127,17.216,0.891,17.134
E01000037,14.868,19.56,15.194,0.494,15.097
E01000038,14.78,20.491,15.154,0.629,15.03
E01000039,14.613,24.008,15.793,1.24,15.262
E01000040,15.673,20.966,16.145,0.646,15.953
E01000041,15.2,30.103,15.962,1.397,15.609
E01000042,15.37,24.655,15.983,0.912,15.771
E01000043,16.043,33.261,17.122,2.119,16.463
E01000044,15.839,25.408,16.702,1.046,16.455
E01000045,15.583,39.034,18.337,4.237,16.685
E01000046,15.187,17.194,15.547,0.299,15.506
E01000049,16.669,41.057,19.007,4.144,17.547
E01000050,16.418,28.113,17.258,1.53,16.855
E01000051,16.738,28.121,17.754,1.831,17.109
E01000052,16.462,41.138,18.672,3.345,17.42
E01000053,15.198,23.278,16.15,1.298,15.711
E01000054,14.941,16.672,15.255,0.259,15.182
E01000055,15.101,19.327,15.607,0.613,15.464
E01000056,14.906,21.348,15.714,0.987,15.381
E01000057,15.116,22.195,15.595,0.753,15.369
E01000058,14.991,18.406,15.34,0.546,15.167
E01000059,14.934,17.048,15.15,0.226,15.087
E01000060,14.848,28.798,15.513,1.115,15.297
E01000061,14.456,28.012,15.425,1.517,14.969
E01000062,15.167,17.479,15.377,0.276,15.319
E01000063,14.969,28.355,15.746,1.364,15.375
E01000064,15.219,21.503,15.876,0.867,15.627
E01000065,15.068,23.702,15.647,1.042,15.311
E01000066,15.268,27.844,15.675,0.769,15.567
E01000067,15.6,27.412,16.512,1.666,15.987
E01000068,15.745,25.178,16.142,0.77,15.977
E01000069,15.397,21.957,15.857,0.449,15.795
E01000070,15.677,26.608,16.263,1.005,15.983
E01000071,15.364,23.096,15.931,0.814,15.757
E01000072,15.198,28.162,15.671,1.158,15.368
E01000073,15.192,23.719,15.499,0.6,15.382
E01000074,15.292,23.76,15.847,1.128,15.516
E01000075,14.988,29.056,15.504,0.925,15.287
E01000076,15.178,23.799,15.514,0.653,15.367
E01000077,15.413,24.949,16.167,1.404,15.741
E01000078,15.078,27.651,16.084,1.62,15.578
E01000079,14.916,18.36,15.173,0.405,15.073
E01000080,15.003,21.897,15.608,0.895,15.372
E01000081,14.989,16.544,15.198,0.207,15.156
E01000082,14.984,24.849,15.743,1.519,15.273
E01000083,15.11,25.56,15.977,1.339,15.603
E01000084,14.994,23.855,15.617,1.064,15.307
E01000085,15.193,21.374,15.642,0.863,15.429
E01000086,14.963,21.816,15.559,1.106,15.206
E01000087,15.265,26.095,16.232,1.74,15.627
E01000088,14.985,21.401,15.636,1.009,15.391
E01000089,14.854,15.737,15.162,0.187,15.138
E01000090,14.672,39.476,15.62,1.92,14.963
E01000091,15.182,18.461,15.639,0.499,15.481
E01000093,15.33,34.957,17.401,3.149,16.405
E01000094,14.767,18.527,15.192,0.426,15.059
E01000095,14.716,34.786,15.959,2.542,15.148
E01000096,15.321,34.942,17.547,3.582,16.231
E01000097,14.97,21.91,15.562,0.914,15.246
E01000098,14.979,20.288,15.579,0.834,15.325
E01000099,14.617,20.119,15.065,0.539,14.963
E01000100,14.779,21.073,15.075,0.691,14.944
E01000101,14.827,22.199,15.446,1.014,15.152
E01000102,14.812,20.706,15.159,0.583,15.011
E01000103,14.588,22.099,15.089,0.772,14.938
E01000104,14.785,28.762,16.209,1.702,15.734
E01000105,15.024,22.635,15.474,0.773,15.296
E01000106,15.003,18.601,15.471,0.391,15.4
E01000107,14.626,17.733,15.497,0.509,15.449
E01000108,15.522,26.089,16.748,1.109,16.588
E01000110,14.446,25.435,15.113,1.274,14.805
E01000111,14.573,25.169,15.354,1.327,14.976
E01000112,14.645,29.408,15.409,1.562,14.897
E01000113,14.717,28.905,15.583,1.521,15.13
E01000114,14.443,32.613,15.539,1.894,15.077
E01000115,14.634,24.396,15.26,0.923,15.065
E01000116,14.624,23.652,15.234,0.891,15.041
E01000117,14.742,20.48,15.14,0.634,14.986
E01000118,14.84,25.693,15.779,1.381,15.345
E01000119,14.856,15.773,15.034,0.157,14.984
E01000120,14.862,23.171,15.315,0.887,15.096
E01000121,14.857,18.359,15.088,0.374,15.0
E01000122,14.905,17.618,15.194,0.365,15.102
E01000123,14.904,19.36,15.234,0.387,15.147
E01000124,15.204,27.76,16.15,1.43,15.68
E01000126,15.434,18.565,15.789,0.367,15.702
E01000127,15.101,20.217,15.44,0.521,15.309
E01000128,15.36,17.406,15.586,0.261,15.509
E01000129,15.215,25.959,16.586,1.862,15.912
E01000130,15.355,20.461,15.828,0.789,15.574
E01000131,15.364,26.676,15.729,0.859,15.551
E01000132,15.092,20.438,15.392,0.506,15.297
E01000133,15.234,20.577,15.697,0.712,15.492
E01000134,15.11,22.694,15.6,0.892,15.344
E01000135,16.213,40.831,17.376,2.873,16.562
E01000136,15.95,25.439,16.44,0.781,16.309
E01000137,16.34,24.389,17.058,0.998,16.743
E01000138,16.45,34.099,18.347,3.43,17.04
E01000139,16.177,51.977,17.621,3.236,16.629
E01000140,16.524,29.339,17.816,1.734,17.218
E01000141,16.602,37.668,17.934,2.495,17.138
E01000142,16.437,37.298,16.794,1.076,16.616
E01000143,16.206,27.329,16.818,1.465,16.53
E01000144,16.274,26.836,17.058,1.367,16.649
E01000145,16.352,33.413,17.105,1.819,16.591
E01000146,16.265,28.864,17.296,1.651,16.707
E01000147,15.738,24.703,16.178,0.804,16.011
E01000150,15.889,31.922,16.577,1.389,16.201
E01000151,15.644,18.089,15.948,0.325,15.865
E01000152,15.508,21.903,16.454,1.232,15.997
E01000153,15.36,17.703,15.624,0.256,15.541
E01000154,15.728,19.072,16.061,0.562,15.868
E01000156,15.373,28.24,16.261,1.736,15.732
E01000157,15.349,17.408,15.674,0.238,15.625
E01000158,14.971,20.606,15.252,0.358,15.167
E01000159,14.976,23.993,15.449,0.982,15.176
E01000160,15.113,37.651,16.175,2.621,15.499
E01000161,15.259,25.19,16.269,1.643,15.731
E01000162,15.184,31.19,16.31,2.027,15.68
E01000163,15.407,32.698,17.084,3.298,15.918
E01000164,15.3,33.631,16.621,2.426,15.723
E01000165,15.28,28.572,16.147,1.589,15.724
E01000166,14.068,14.922,14.349,0.151,14.353
E01000167,14.07,16.117,14.37,0.223,14.338
E01000168,14.365,15.173,14.55,0.117,14.528
E01000169,14.403,15.108,14.596,0.124,14.562
E01000170,14.5,20.578,15.098,0.747,14.904
E01000171,14.562,25.204,15.276,1.231,14.965
E01000172,14.51,25.219,14.921,1.045,14.673
E01000173,14.515,21.734,14.902,0.669,14.784
E01000174,14.738,23.059,15.454,1.224,15.034
E01000175,14.591,19.641,14.929,0.485,14.814
E01000176,15.732,32.938,18.061,3.878,16.462
E01000177,15.618,24.24,15.933,0.583,15.808
E01000178,15.299,23.971,15.734,0.807,15.575
E01000179,15.618,16.851,15.822,0.167,15.787
E01000180,15.699,20.782,16.116,0.681,15.932
E01000181,15.591,25.887,16.509,1.352,16.07
E01000182,15.676,30.08,16.48,1.669,16.019
E01000183,15.726,21.459,16.089,0.644,15.926
E01000184,15.28,42.48,16.6,2.666,15.765
E01000185,15.629,24.462,16.235,1.242,15.861
E01000186,14.371,24.577,15.239,1.418,14.934
E01000187,14.336,15.207,14.561,0.171,14.522
E01000188,14.011,28.761,14.769,1.41,14.288
E01000189,14.57,29.265,15.459,1.776,14.927
E01000190,14.57,21.116,14.842,0.563,14.705
E01000191,14.661,29.374,15.757,1.912,15.07
E01000192,14.792,23.044,15.505,1.191,15.1
E01000193,14.622,25.162,15.234,1.034,14.974
E01000194,14.829,34.364,15.876,2.012,15.273
E01000195,14.194,21.641,15.134,1.19,14.759
E01000196,15.589,33.89,16.661,2.04,16.03
E01000197,15.506,24.539,16.186,1.014,15.849
E01000198,15.604,30.658,17.37,2.75,16.357
E01000199,15.331,18.752,15.711,0.472,15.547
E01000200,15.464,24.013,16.217,1.226,15.864
E01000201,15.766,47.072,17.261,2.809,16.471
E01000202,15.657,25.753,16.105,1.016,15.946
E01000203,15.664,54.654,18.234,4.761,16.838
E01000204,15.329,34.711,15.713,0.885,15.538
E01000205,15.74,36.92,17.056,2.554,16.301
E01000206,15.664,27.842,16.024,0.766,15.837
E01000207,15.745,33.419,16.382,1.626,15.947
E01000208,15.847,35.059,17.026,2.29,16.287
E01000209,15.737,17.241,16.028,0.215,15.988
E01000210,15.68,35.734,16.752,2.476,16.053
E01000211,16.019,44.929,18.836,4.346,17.295
E01000212,15.758,26.274,16.455,1.036,16.165
E01000213,15.665,17.477,15.865,0.18,15.837
E01000214,15.908,24.884,16.48,1.014,16.185
E01000215,16.13,40.8,18.564,4.251,17.134
E01000216,16.008,22.172,16.313,0.547,16.222
E01000217,15.991,17.306,16.228,0.213,16.172
E01000218,16.146,26.549,16.995,1.398,16.69
E01000219,16.436,45.675,18.787,4.003,17.473
E01000220,16.382,25.701,16.942,0.949,16.672
E01000221,16.477,46.567,19.915,5.117,17.755
E01000222,16.323,34.242,17.136,1.985,16.633
E01000223,16.555,46.454,18.139,2.903,17.167
E01000224,16.369,20.678,16.742,0.446,16.632
E01000225,16.233,54.049,18.778,5.422,16.984
E01000226,14.874,24.762,15.799,1.447,15.391
E01000227,14.793,25.758,15.389,1.213,15.02
E01000228,14.008,29.097,14.994,1.665,14.543
E01000229,14.526,25.775,15.475,1.611,15.003
E01000230,14.408,25.898,15.127,1.195,14.9
E01000231,15.025,39.664,17.59,3.286,16.284
E01000232,14.891,30.424,16.298,2.215,15.487
E01000233,14.934,28.824,15.647,1.354,15.233
E01000234,15.117,29.751,16.279,1.69,15.726
E01000235,15.02,25.68,16.14,1.478,15.563
E01000236,16.128,41.779,17.684,3.15,16.69
E01000237,16.124,46.418,17.797,3.217,16.759
E01000238,16.084,47.945,17.694,4.255,16.405
E01000239,16.29,37.629,18.962,2.952,17.957
E01000240,15.729,38.769,18.042,3.224,16.959
E01000241,15.712,24.894,16.026,0.646,15.913
E01000242,15.917,29.904,16.891,1.988,16.303
E01000243,15.805,25.834,16.829,1.379,16.455
E01000244,15.809,24.113,16.684,0.951,16.451
E01000245,16.092,24.012,16.588,1.025,16.306
E01000246,13.924,30.754,14.376,0.722,14.186
E01000247,14.184,18.95,14.629,0.529,14.51
E01000248,14.271,23.019,15.119,1.167,14.797
E01000249,13.771,19.64,14.127,0.41,14.033
E01000250,14.199,35.353,15.166,1.711,14.693
E01000251,14.607,23.439,15.359,1.234,14.98
E01000252,14.565,25.311,15.149,0.783,14.951
E01000253,13.714,25.011,14.38,1.175,14.071
