MSOA21CD,NO2-2013-min,NO2-2013-max,NO2-2013-mean,NO2-2013-std,NO2-2013-median
E02000002,24.651,98.39,27.655,5.048,26.47
E02000003,24.984,165.587,30.664,7.025,29.049
E02000004,25.613,46.72,26.962,2.077,26.37
E02000005,26.653,77.184,29.962,4.473,28.932
E02000007,26.011,65.78,28.943,4.068,28.123
E02000008,27.549,72.05,30.659,4.065,29.564
E02000009,28.745,70.792,32.078,4.44,30.795
E02000010,27.433,56.672,29.722,3.353,28.905
E02000011,25.84,59.701,28.49,3.574,27.753
E02000012,29.694,72.614,32.413,4.109,31.416
E02000013,28.171,53.757,30.736,2.701,30.236
E02000014,28.071,68.829,31.041,4.323,30.051
E02000015,27.382,58.566,29.222,2.909,28.457
E02000016,32.576,120.43,38.167,6.856,35.914
E02000017,30.304,83.068,34.319,5.488,32.911
E02000018,29.357,123.232,33.363,7.75,31.4
E02000019,28.728,119.071,33.579,8.067,31.335
E02000020,28.937,117.513,33.007,6.783,31.0
E02000021,27.78,120.029,31.62,6.259,29.673
E02000022,32.978,97.906,38.354,7.457,35.913
E02000023,29.57,134.619,34.318,7.885,32.029
E02006799,27.168,62.329,30.833,3.534,29.961
E02000024,24.595,76.302,27.029,3.755,26.099
E02000025,25.285,62.536,26.834,2.443,26.325
E02000026,25.359,48.481,27.781,1.965,27.529
E02000027,26.038,81.122,27.805,2.859,27.239
E02000028,27.415,80.878,30.446,5.309,28.903
E02000029,26.188,58.686,29.693,3.676,28.911
E02000030,24.798,85.047,27.958,4.455,26.976
E02000031,27.518,87.875,31.021,5.925,29.302
E02000032,27.963,57.856,30.466,2.909,29.854
E02000033,28.654,73.388,31.239,3.574,30.211
E02000034,28.785,62.249,31.217,3.849,30.295
E02000035,27.702,68.291,30.356,4.444,29.401
E02000036,27.266,108.029,34.601,8.783,31.555
E02000037,26.618,86.64,30.856,6.398,29.108
E02000038,29.523,117.937,33.608,7.183,31.715
E02000039,28.706,98.685,35.963,9.892,32.491
E02000040,27.068,60.745,29.31,2.244,28.923
E02000041,28.976,87.872,32.9,5.981,31.097
E02000042,29.523,99.655,34.229,6.913,32.214
E02000043,27.133,55.27,30.322,2.27,30.214
E02000044,29.895,74.737,33.839,4.628,32.398
E02000045,31.067,108.627,36.367,10.176,33.23
E02000046,30.696,89.829,34.71,6.23,32.644
E02000047,30.048,97.634,33.427,5.645,31.944
E02000048,29.555,108.034,34.262,8.254,31.655
E02000049,32.174,58.137,35.486,3.348,34.67
E02000050,30.808,110.892,36.231,9.704,33.173
E02000051,31.304,166.635,37.219,10.018,34.139
E02000052,32.19,83.699,35.007,4.76,33.664
E02000054,31.564,171.089,41.103,11.359,37.145
E02000055,31.75,103.351,37.349,8.059,34.996
E02000056,31.808,115.109,34.562,5.706,33.202
E02000057,33.219,127.964,40.469,12.046,36.5
E02000058,32.049,139.129,36.87,9.554,34.156
E02000059,31.49,166.094,37.533,9.221,34.553
E02000060,33.276,152.276,39.921,11.894,36.09
E02000061,32.62,96.225,36.846,6.599,34.994
E02000062,33.983,187.464,43.554,15.467,37.819
E02000063,33.109,103.25,37.795,8.313,35.477
E02000064,33.602,118.62,38.531,7.194,36.415
E02006953,32.97,59.211,35.796,3.644,34.644
E02006954,31.646,90.315,35.975,5.479,34.522
E02000065,27.391,48.768,29.326,2.173,28.823
E02000066,27.533,77.913,30.921,4.399,29.931
E02000067,26.846,73.977,29.416,3.002,28.907
E02000068,26.776,84.437,30.505,5.274,28.92
E02000069,27.002,50.756,29.012,2.662,28.358
E02000070,27.561,69.102,29.971,3.668,29.177
E02000071,27.265,52.079,28.961,2.43,28.458
E02000072,24.914,74.657,27.078,3.188,26.211
E02000073,28.297,61.937,30.707,3.645,29.693
E02000074,26.507,91.574,29.929,6.216,28.193
E02000075,27.326,57.094,29.382,2.776,28.85
E02000077,28.352,54.15,29.878,2.051,29.475
E02000078,26.341,55.639,28.202,2.193,27.785
E02000079,27.739,75.106,31.176,4.94,29.849
E02000080,27.628,75.851,31.278,4.194,30.356
E02000081,26.306,78.638,29.759,4.956,28.47
E02000082,28.89,86.929,33.486,7.942,31.046
E02000083,26.081,89.438,28.805,5.121,27.365
E02000084,27.636,86.199,32.25,6.7,29.954
E02000085,27.965,94.421,32.886,7.925,30.311
E02000086,27.439,59.36,29.611,2.158,29.27
E02000087,25.367,78.786,30.048,5.908,28.544
E02000088,26.331,55.663,29.415,3.249,28.705
E02000089,28.348,63.366,30.325,3.331,29.577
E02000090,27.708,82.456,31.262,5.174,29.704
E02000091,26.225,78.78,29.499,4.782,28.365
E02000092,24.897,75.05,27.318,4.038,26.323
E02006785,28.407,58.819,30.498,3.042,29.851
E02000093,29.878,77.958,32.691,4.128,31.638
E02000094,30.484,91.725,34.474,5.099,33.171
E02000095,29.417,69.361,33.09,5.124,31.621
E02000096,29.11,68.631,31.048,3.514,30.215
E02000097,29.902,64.675,32.734,3.231,32.239
E02000098,29.769,69.085,31.92,3.395,31.187
E02000099,29.617,62.126,31.47,2.843,30.855
E02000100,28.911,71.554,31.697,4.557,30.435
E02000101,30.289,91.389,34.909,5.737,33.282
E02000102,31.438,127.985,36.884,11.002,34.04
E02000103,32.329,150.542,37.268,8.917,34.89
E02000104,30.615,89.199,34.28,5.525,32.7
E02000105,30.031,90.143,33.234,5.333,31.673
E02000106,32.64,139.619,42.955,13.695,38.316
E02000107,33.027,88.781,37.126,5.999,35.439
E02000108,30.2,51.776,33.003,3.147,32.166
