MSOA21CD,PM10-2013-min,PM10-2013-max,PM10-2013-mean,PM10-2013-std,PM10-2013-median
E02000002,22.911,38.24,23.546,1.088,23.301
E02000003,23.052,59.221,24.129,1.58,23.729
E02000004,23.092,27.046,23.343,0.392,23.239
E02000005,23.306,33.618,23.952,0.955,23.712
E02000007,23.183,32.54,23.785,0.936,23.577
E02000008,23.531,33.48,24.123,0.917,23.871
E02000009,23.728,32.652,24.406,0.974,24.132
E02000010,23.493,30.774,23.933,0.756,23.741
E02000011,23.175,30.632,23.636,0.796,23.472
E02000012,24.022,32.561,24.524,0.866,24.306
E02000013,23.672,29.167,24.137,0.578,24.025
E02000014,23.639,31.671,24.182,0.882,23.969
E02000015,23.357,29.873,23.83,0.617,23.669
E02000016,24.479,47.754,25.442,1.453,25.027
E02000017,24.218,36.943,24.891,1.117,24.626
E02000018,23.939,53.197,24.771,2.039,24.286
E02000019,23.71,46.363,24.677,1.774,24.242
E02000020,23.722,46.568,24.652,1.671,24.251
E02000021,23.471,43.471,24.21,1.303,23.849
E02000022,24.793,43.156,25.747,1.802,25.189
E02000023,23.888,55.649,24.944,2.02,24.399
E02006799,23.478,30.373,24.131,0.697,23.951
E02000024,22.809,33.225,23.259,0.74,23.082
E02000025,22.919,30.756,23.234,0.482,23.141
E02000026,22.954,27.993,23.414,0.44,23.373
E02000027,23.053,35.159,23.355,0.586,23.234
E02000028,23.302,34.259,23.878,1.147,23.554
E02000029,23.149,29.871,23.788,0.765,23.603
E02000030,22.818,37.624,23.443,0.957,23.251
E02000031,23.343,35.827,24.003,1.211,23.663
E02000032,23.467,30.08,23.953,0.613,23.813
E02000033,23.538,32.667,24.098,0.738,23.876
E02000034,23.622,30.981,24.122,0.801,23.932
E02000035,23.378,31.43,23.918,0.968,23.704
E02000036,23.251,42.475,24.548,1.729,24.018
E02000037,23.175,37.546,23.885,1.139,23.604
E02000038,23.817,45.327,24.569,1.533,24.176
E02000039,23.645,39.984,25.012,2.028,24.369
E02000040,23.285,28.918,23.735,0.442,23.677
E02000041,23.615,35.292,24.376,1.182,24.022
E02000042,23.742,36.863,24.662,1.347,24.277
E02000043,23.296,29.087,23.893,0.455,23.865
E02000044,23.842,32.042,24.471,0.718,24.266
E02000045,24.106,40.663,25.092,2.118,24.438
E02000046,23.969,34.948,24.821,1.207,24.431
E02000047,23.918,36.585,24.56,1.126,24.297
E02000048,23.74,44.907,24.762,1.737,24.217
E02000049,24.303,28.132,24.993,0.51,24.907
E02000050,24.114,43.966,25.187,2.209,24.523
E02000051,24.141,53.802,25.369,2.215,24.724
E02000052,24.317,33.665,24.836,0.915,24.582
E02000054,24.312,50.725,26.039,2.292,25.251
E02000055,24.363,41.29,25.469,1.763,24.965
E02000056,24.294,44.146,24.815,1.229,24.512
E02000057,24.697,46.562,26.13,2.714,25.241
E02000058,24.375,46.041,25.267,1.977,24.752
E02000059,24.316,51.662,25.387,1.76,24.852
E02000060,24.691,57.07,26.018,2.831,25.17
E02000061,24.488,40.545,25.232,1.33,24.889
E02000062,24.737,65.069,26.63,3.61,25.388
E02000063,24.643,40.674,25.512,1.895,24.986
E02000064,24.668,40.728,25.566,1.424,25.117
E02006953,24.685,30.473,25.141,0.669,24.939
E02006954,24.362,35.734,25.135,1.023,24.865
E02000065,23.345,28.225,23.736,0.455,23.632
E02000066,23.466,34.075,24.052,0.911,23.831
E02000067,23.203,34.07,23.705,0.595,23.59
E02000068,23.183,34.868,23.836,0.967,23.57
E02000069,23.322,28.073,23.671,0.569,23.51
E02000070,23.424,32.63,23.92,0.786,23.738
E02000071,23.356,28.242,23.662,0.47,23.549
E02000072,22.739,45.356,23.263,0.961,23.061
E02000073,23.582,30.56,24.071,0.806,23.844
E02000074,23.153,36.344,23.843,1.365,23.472
E02000075,23.43,29.883,23.8,0.573,23.681
E02000077,23.598,29.06,23.866,0.416,23.784
E02000078,23.18,29.251,23.484,0.437,23.394
E02000079,23.533,32.449,24.101,0.908,23.853
E02000080,23.543,33.814,24.156,0.782,23.971
E02000081,23.173,34.381,23.806,0.96,23.573
E02000082,23.714,37.276,24.619,1.728,24.1
E02000083,23.068,36.681,23.624,1.121,23.32
E02000084,23.447,37.365,24.34,1.38,23.871
E02000085,23.526,38.497,24.483,1.642,23.957
E02000086,23.454,29.607,23.801,0.42,23.717
E02000087,22.965,34.264,23.844,1.169,23.546
E02000088,23.185,29.475,23.753,0.679,23.601
E02000089,23.564,31.523,23.91,0.708,23.748
E02000090,23.505,34.093,24.078,0.988,23.775
E02000091,23.176,33.608,23.752,0.881,23.533
E02000092,22.847,34.368,23.355,0.827,23.179
E02006785,23.645,29.668,24.008,0.603,23.855
