MSOA21CD,NOx-2019-min,NOx-2019-max,NOx-2019-mean,NOx-2019-std,NOx-2019-median
E02000002,27.932,214.723,32.375,8.235,30.557
E02000003,28.36,402.883,36.727,12.442,33.822
E02000004,28.25,91.699,30.656,4.227,29.66
E02000005,30.17,228.704,35.67,10.114,33.516
E02000007,29.146,123.572,34.122,7.885,32.422
E02000008,31.544,174.575,36.588,7.945,34.561
E02000009,32.945,137.435,38.131,8.506,35.711
E02000010,31.016,86.131,33.92,4.294,32.982
E02000011,28.478,101.535,32.323,5.769,31.332
E02000012,34.308,109.224,38.827,6.594,37.355
E02000013,32.176,146.887,36.377,6.169,35.071
E02000014,31.705,148.982,35.87,8.052,34.139
E02000015,29.995,130.577,34.37,7.309,32.549
E02000016,38.773,259.456,48.876,14.835,44.242
E02000017,36.187,121.497,41.72,6.907,40.017
E02000018,33.948,201.162,41.78,15.968,37.367
E02000019,32.376,166.423,39.418,13.336,35.465
E02000020,32.359,199.543,39.903,14.926,34.817
E02000021,31.613,197.971,39.27,12.269,35.777
E02000022,39.973,187.419,50.504,17.572,44.82
E02000023,32.946,149.531,41.655,14.867,37.763
E02006799,31.261,91.714,36.506,6.185,34.998
E02000024,28.069,227.682,32.632,8.052,30.795
E02000025,29.203,164.241,32.544,5.787,31.26
E02000026,29.471,102.777,33.11,4.426,32.445
E02000027,30.273,153.176,33.259,6.552,31.95
E02000028,32.393,177.448,39.188,11.956,35.635
E02000029,31.464,116.225,36.755,7.028,35.122
E02000030,28.65,139.554,34.027,8.741,31.894
E02000031,32.379,359.158,39.83,14.933,36.024
E02000032,33.044,106.077,36.777,5.022,35.778
E02000033,34.288,159.257,39.179,7.419,37.13
E02000034,34.346,163.673,38.316,7.584,36.732
E02000035,32.58,342.327,37.527,17.113,35.134
E02000036,31.907,308.51,45.963,19.721,38.944
E02000037,30.629,160.225,38.371,14.094,34.092
E02000038,35.474,172.471,41.286,10.965,38.509
E02000039,34.356,232.582,48.626,21.556,41.108
E02000040,31.708,97.026,35.182,3.717,34.592
E02000041,33.673,198.661,39.952,10.638,36.97
E02000042,35.705,317.42,42.49,15.333,39.219
E02000043,31.814,81.532,37.013,4.717,36.414
E02000044,35.614,147.157,43.358,11.822,39.241
E02000045,37.215,192.651,45.593,16.341,40.516
E02000046,37.331,269.007,43.344,13.808,40.218
E02000047,35.625,130.742,40.19,8.566,37.873
E02000048,35.249,209.772,44.375,16.497,39.079
E02000049,36.653,115.798,41.455,8.152,39.25
E02000050,37.503,262.032,46.552,17.932,41.22
E02000051,38.665,342.387,49.735,22.023,43.787
E02000052,39.637,154.529,44.112,8.839,41.793
E02000054,38.669,277.191,55.83,21.809,47.826
