MSOA21CD,PM10d-2019-min,PM10d-2019-max,PM10d-2019-mean,PM10d-2019-std,PM10d-2019-median
E02000002,2.326,83.358,2.915,1.721,2.627
E02000003,2.394,166.777,3.556,3.182,3.054
E02000004,2.886,15.203,3.782,1.07,3.3
E02000005,2.755,40.36,3.502,1.645,3.193
E02000007,2.765,27.139,3.732,1.483,3.459
E02000008,3.042,23.832,3.766,1.367,3.444
E02000009,3.189,29.451,4.03,1.564,3.625
E02000010,3.125,12.108,3.539,0.562,3.413
E02000011,2.896,21.12,4.731,1.429,4.512
E02000012,3.413,24.368,4.161,1.351,3.883
E02000013,3.182,27.927,3.697,1.03,3.5
E02000014,3.114,19.44,3.578,1.11,3.357
E02000015,2.867,27.033,3.571,1.17,3.355
E02000016,4.075,139.345,6.037,4.929,5.02
E02000017,3.819,19.635,4.573,1.304,4.316
E02000018,3.345,69.782,4.772,4.73,3.738
E02000019,2.966,49.407,4.236,3.735,3.357
E02000020,2.937,92.112,4.666,5.421,3.575
E02000021,2.932,72.051,3.977,2.543,3.404
E02000022,4.669,80.316,7.056,6.688,5.387
E02000023,3.007,50.166,4.969,5.163,3.786
E02006799,2.889,12.555,3.528,0.823,3.336
E02000024,2.19,51.94,2.842,1.255,2.623
E02000025,2.371,33.485,2.882,0.861,2.723
E02000026,2.476,17.773,2.934,0.775,2.842
E02000027,2.532,27.675,3.037,1.045,2.835
E02000028,2.942,43.122,3.88,2.309,3.353
E02000029,2.799,17.738,3.296,0.957,3.091
E02000030,2.222,28.505,2.942,1.399,2.703
E02000031,2.904,68.648,3.888,3.289,3.235
E02000032,2.894,15.995,3.373,0.787,3.232
E02000033,2.986,24.135,3.577,1.09,3.316
E02000034,3.094,51.451,3.589,2.047,3.315
E02000035,2.824,129.885,3.85,5.866,3.124
E02000036,2.568,73.025,4.31,3.4,3.38
E02000037,2.434,28.917,3.197,1.601,2.759
E02000038,3.169,62.824,3.975,2.672,3.483
E02000039,3.043,61.348,5.139,4.277,4.016
E02000040,2.741,15.988,3.269,0.532,3.19
E02000041,2.893,47.571,3.776,1.963,3.303
E02000042,3.188,154.1,4.209,4.604,3.591
E02000043,2.748,9.38,3.352,0.596,3.281
E02000044,3.208,30.118,4.104,1.575,3.642
E02000045,3.376,44.465,4.703,3.62,3.743
E02000046,3.384,82.137,4.32,3.773,3.745
E02000047,3.274,23.509,3.908,1.375,3.602
E02000048,3.461,74.006,4.676,3.557,3.752
E02000049,3.489,11.369,4.061,0.794,3.858
E02000050,3.422,87.844,4.822,4.092,3.835
E02000051,3.577,142.902,5.638,7.762,4.215
E02000052,3.686,31.199,4.303,1.621,3.955
E02000054,3.79,72.84,6.374,4.971,4.854
E02000055,3.872,108.3,5.412,4.754,4.481
E02000056,3.748,53.675,4.462,2.616,3.968
E02000057,4.121,138.828,7.022,9.403,4.727
E02000058,3.812,100.716,5.2,5.232,4.232
E02000059,3.682,111.76,5.159,4.475,4.175
E02000060,4.163,140.879,7.26,10.663,4.84
E02000061,3.963,79.125,5.037,3.42,4.443
E02000062,4.406,119.066,8.425,10.497,5.339
E02000063,4.341,61.093,5.694,4.422,4.682
E02000064,4.206,133.298,5.832,5.67,4.711
E02006953,3.717,16.43,4.324,1.048,4.036
E02006954,3.58,31.308,4.691,2.031,4.164
E02000065,2.902,12.802,3.257,0.729,3.105
E02000066,2.87,50.834,3.57,1.681,3.252
E02000067,2.897,47.392,3.705,1.536,3.363
E02000068,2.591,38.826,4.503,2.441,4.228
E02000069,2.689,16.523,3.295,0.934,3.123
E02000070,2.867,15.119,3.285,0.933,3.075
E02000071,2.752,11.584,3.056,0.549,2.931
E02000072,2.075,44.551,2.632,1.829,2.38
E02000073,2.911,29.625,3.31,0.73,3.144
E02000074,2.536,43.539,3.46,3.169,2.812
E02000075,2.801,20.63,3.157,0.851,3.018
E02000077,2.985,16.621,3.385,0.784,3.26
E02000078,2.572,21.129,2.986,0.871,2.846
E02000079,2.87,59.53,3.616,1.819,3.234
E02000080,2.97,56.599,3.9,2.078,3.543
E02000081,2.572,56.307,3.573,2.478,3.036
E02000082,2.99,77.275,5.126,6.658,3.642
E02000083,2.33,149.016,3.364,4.14,2.699
E02000084,2.795,86.83,4.336,3.906,3.296
E02000085,2.794,76.58,4.871,6.302,3.417
E02000086,2.742,14.445,3.107,0.557,3.011
E02000087,2.141,125.37,3.53,3.93,2.785
E02000088,2.469,16.031,3.212,1.085,3.012
E02000089,2.768,13.361,3.162,0.839,2.994
E02000090,2.682,29.152,3.448,1.798,2.983
E02000091,2.495,36.184,3.277,1.781,2.928
E02000092,2.055,34.394,2.67,1.071,2.485
E02006785,3.064,17.753,3.571,1.111,3.336
E02000093,3.331,28.35,3.832,1.112,3.628
E02000094,3.512,30.391,4.265,1.499,3.938
E02000095,3.398,48.527,4.323,2.374,3.781
E02000096,3.285,31.444,3.746,1.554,3.481
E02000097,3.43,30.719,4.113,1.329,3.867
E02000098,3.44,25.736,3.915,1.046,3.703
E02000099,3.313,13.978,3.752,0.645,3.646
E02000100,3.173,86.074,4.223,3.601,3.562
E02000101,3.644,93.798,5.503,4.393,4.712
E02000102,3.843,115.38,6.38,9.892,4.653
E02000103,4.053,150.307,5.833,7.431,4.583
E02000104,3.588,23.138,4.344,1.11,4.053
E02000105,3.526,45.013,4.43,2.738,3.824
E02000106,4.442,159.857,9.331,14.668,5.664
E02000107,4.183,50.887,4.999,2.915,4.499
E02000108,3.422,10.28,3.718,0.548,3.601
E02000110,4.203,44.09,4.674,1.467,4.43
E02000111,3.584,43.126,4.473,2.301,3.988
E02000112,3.91,133.566,5.803,4.708,4.952
E02000113,4.493,133.43,9.203,14.103,5.581
E02000114,4.3,59.668,5.124,3.879,4.547
E02000115,4.289,46.94,5.001,1.814,4.589
