,LSOA11CD,LSOA11NM,LSOA21CD,LSOA21NM,CHGIND,LAD22CD,LAD22NM,TotalRes11,TotalRes21,sqkm21,prop21
0,E01000001,City of London 001A,E01000001,City of London 001A,U,E09000001,City of London,1465,1475,0.1298653144352724,1.0
1,E01000002,City of London 001B,E01000002,City of London 001B,U,E09000001,City of London,1436,1384,0.22841978230394952,1.0
2,E01000003,City of London 001C,E01000003,City of London 001C,U,E09000001,City of London,1346,1613,0.05905420461075251,1.0
3,E01000005,City of London 001E,E01000005,City of London 001E,U,E09000001,City of London,985,1100,0.18957770949308014,1.0
4,E01000006,Barking and Dagenham 016A,E01000006,Barking and Dagenham 016A,U,E09000002,Barking and Dagenham,1703,1845,0.14653699571952056,1.0
5,E01000007,Barking and Dagenham 015A,E01000007,Barking and Dagenham 015A,U,E09000002,Barking and Dagenham,1391,2908,0.20009399270628778,1.0
6,E01000008,Barking and Dagenham 015B,E01000008,Barking and Dagenham 015B,U,E09000002,Barking and Dagenham,1544,1795,0.1936464809279013,1.0
7,E01000009,Barking and Dagenham 016B,E01000009,Barking and Dagenham 016B,U,E09000002,Barking and Dagenham,1773,1804,0.127959927472488,1.0
8,E01000011,Barking and Dagenham 016C,E01000011,Barking and Dagenham 016C,U,E09000002,Barking and Dagenham,1634,1701,0.09163228152544746,1.0
9,E01000012,Barking and Dagenham 015D,E01000012,Barking and Dagenham 015D,U,E09000002,Barking and Dagenham,1901,2347,0.14042856205572848,1.0
10,E01000013,Barking and Dagenham 013A,E01000013,Barking and Dagenham 013A,U,E09000002,Barking and Dagenham,1660,1871,0.2078299594701069,1.0
11,E01000014,Barking and Dagenham 013B,E01000014,Barking and Dagenham 013B,U,E09000002,Barking and Dagenham,1656,1751,0.3412192234005371,1.0
12,E01000015,Barking and Dagenham 009A,E01000015,Barking and Dagenham 009A,U,E09000002,Barking and Dagenham,2241,2418,0.28062957093863156,1.0
13,E01000016,Barking and Dagenham 009B,E01000016,Barking and Dagenham 009B,U,E09000002,Barking and Dagenham,1637,1851,0.19877511463118472,1.0
14,E01000017,Barking and Dagenham 009C,E01000017,Barking and Dagenham 009C,U,E09000002,Barking and Dagenham,1594,1722,0.15837185701860065,1.0
15,E01000018,Barking and Dagenham 009D,E01000018,Barking and Dagenham 009D,U,E09000002,Barking and Dagenham,1597,1776,0.17398061953044255,1.0
16,E01000019,Barking and Dagenham 023A,E01000019,Barking and Dagenham 023A,U,E09000002,Barking and Dagenham,1407,1657,0.18307698711353965,1.0
17,E01000020,Barking and Dagenham 023B,E01000020,Barking and Dagenham 023B,U,E09000002,Barking and Dagenham,1834,2191,0.18723702292661087,1.0
18,E01000021,Barking and Dagenham 008A,E01000021,Barking and Dagenham 008A,U,E09000002,Barking and Dagenham,1579,1693,0.170152770653466,1.0
19,E01000022,Barking and Dagenham 008B,E01000022,Barking and Dagenham 008B,U,E09000002,Barking and Dagenham,1314,1477,0.1282629955504032,1.0
20,E01000024,Barking and Dagenham 008D,E01000024,Barking and Dagenham 008D,U,E09000002,Barking and Dagenham,1336,1485,0.12863521643010303,1.0
21,E01000025,Barking and Dagenham 008E,E01000025,Barking and Dagenham 008E,U,E09000002,Barking and Dagenham,1609,1920,0.15335204029237018,1.0
22,E01000027,Barking and Dagenham 001A,E01000027,Barking and Dagenham 001A,U,E09000002,Barking and Dagenham,1709,2082,1.47452672066952,1.0
23,E01000028,Barking and Dagenham 001B,E01000028,Barking and Dagenham 001B,U,E09000002,Barking and Dagenham,1549,1817,0.14389082180955357,1.0
24,E01000029,Barking and Dagenham 001C,E01000029,Barking and Dagenham 001C,U,E09000002,Barking and Dagenham,1602,1819,0.2568771418516021,1.0
25,E01000030,Barking and Dagenham 001D,E01000030,Barking and Dagenham 001D,U,E09000002,Barking and Dagenham,1915,2563,0.28626598005857173,1.0
26,E01000031,Barking and Dagenham 002A,E01000031,Barking and Dagenham 002A,U,E09000002,Barking and Dagenham,1617,1770,0.8434212207603567,1.0
27,E01000032,Barking and Dagenham 002B,E01000032,Barking and Dagenham 002B,U,E09000002,Barking and Dagenham,1629,2078,0.3754349560819486,1.0
28,E01000033,Barking and Dagenham 006A,E01000033,Barking and Dagenham 006A,U,E09000002,Barking and Dagenham,1361,1543,0.14532172533745202,1.0
29,E01000034,Barking and Dagenham 003A,E01000034,Barking and Dagenham 003A,U,E09000002,Barking and Dagenham,1444,1575,0.5136591081417046,1.0
30,E01000035,Barking and Dagenham 010A,E01000035,Barking and Dagenham 010A,U,E09000002,Barking and Dagenham,1610,1859,0.3971614166584488,1.0
31,E01000036,Barking and Dagenham 010B,E01000036,Barking and Dagenham 010B,U,E09000002,Barking and Dagenham,1353,1470,0.41868829672420516,1.0
32,E01000037,Barking and Dagenham 003B,E01000037,Barking and Dagenham 003B,U,E09000002,Barking and Dagenham,1688,1696,0.2334333505023815,1.0
33,E01000038,Barking and Dagenham 003C,E01000038,Barking and Dagenham 003C,U,E09000002,Barking and Dagenham,1447,1616,0.21404577177383619,1.0
34,E01000039,Barking and Dagenham 003D,E01000039,Barking and Dagenham 003D,U,E09000002,Barking and Dagenham,1603,1752,1.5318078661646293,1.0
35,E01000040,Barking and Dagenham 019A,E01000040,Barking and Dagenham 019A,U,E09000002,Barking and Dagenham,1569,1879,0.17070813681870528,1.0
36,E01000041,Barking and Dagenham 017A,E01000041,Barking and Dagenham 017A,U,E09000002,Barking and Dagenham,1682,1842,0.1526353895273098,1.0
37,E01000042,Barking and Dagenham 017B,E01000042,Barking and Dagenham 017B,U,E09000002,Barking and Dagenham,1788,1882,0.23122983683509843,1.0
38,E01000043,Barking and Dagenham 019B,E01000043,Barking and Dagenham 019B,U,E09000002,Barking and Dagenham,1358,1537,0.2663649316160937,1.0
39,E01000044,Barking and Dagenham 016D,E01000044,Barking and Dagenham 016D,U,E09000002,Barking and Dagenham,1798,1988,0.17062874934662667,1.0
40,E01000045,Barking and Dagenham 017C,E01000045,Barking and Dagenham 017C,U,E09000002,Barking and Dagenham,1650,1723,0.298245593432291,1.0
41,E01000046,Barking and Dagenham 017D,E01000046,Barking and Dagenham 017D,U,E09000002,Barking and Dagenham,1779,1956,0.1554940336034479,1.0
42,E01000049,Barking and Dagenham 021C,E01000049,Barking and Dagenham 021C,U,E09000002,Barking and Dagenham,1820,1973,0.21220978317144004,1.0
43,E01000050,Barking and Dagenham 019C,E01000050,Barking and Dagenham 019C,U,E09000002,Barking and Dagenham,1661,1839,0.1376547270483557,1.0
44,E01000051,Barking and Dagenham 021D,E01000051,Barking and Dagenham 021D,U,E09000002,Barking and Dagenham,1927,1107,0.06663249489923227,1.0
45,E01000052,Barking and Dagenham 019D,E01000052,Barking and Dagenham 019D,U,E09000002,Barking and Dagenham,2014,2368,0.19963641201664048,1.0
46,E01000053,Barking and Dagenham 020A,E01000053,Barking and Dagenham 020A,U,E09000002,Barking and Dagenham,1485,1617,0.1809051842921694,1.0
47,E01000054,Barking and Dagenham 018A,E01000054,Barking and Dagenham 018A,U,E09000002,Barking and Dagenham,1718,1871,0.17113994315329364,1.0
48,E01000055,Barking and Dagenham 018B,E01000055,Barking and Dagenham 018B,U,E09000002,Barking and Dagenham,1553,1705,0.1460591742036252,1.0
49,E01000056,Barking and Dagenham 018C,E01000056,Barking and Dagenham 018C,U,E09000002,Barking and Dagenham,1584,1702,0.2435715945744521,1.0
50,E01000415,Bexley 016F,E01000415,Bexley 016F,U,E09000004,Bexley,1498,1465,0.22864531429981966,1.0
51,E01000315,Barnet 022F,E01000315,Barnet 022F,U,E09000003,Barnet,1715,1699,0.5054003064372854,1.0
52,E01000316,Barnet 027E,E01000316,Barnet 027E,U,E09000003,Barnet,2312,2287,0.406398944600997,1.0
53,E01000317,Barnet 019D,E01000317,Barnet 019D,U,E09000003,Barnet,1613,1584,0.17056308855962815,1.0
54,E01000318,Barnet 019E,E01000318,Barnet 019E,U,E09000003,Barnet,1840,1926,0.27229537506667395,1.0
55,E01000319,Barnet 027F,E01000319,Barnet 027F,U,E09000003,Barnet,1500,1402,0.15899669963961088,1.0
56,E01000320,Barnet 011D,E01000320,Barnet 011D,U,E09000003,Barnet,1475,1934,0.23333305032117677,1.0
57,E01000321,Barnet 012E,E01000321,Barnet 012E,U,E09000003,Barnet,1635,1961,0.17520844166878935,1.0
58,E01000322,Barnet 011E,E01000322,Barnet 011E,U,E09000003,Barnet,1717,1859,0.20463979826925316,1.0
59,E01000323,Barnet 019F,E01000323,Barnet 019F,U,E09000003,Barnet,1982,2367,0.21416477846663362,1.0
60,E01000324,Barnet 015F,E01000324,Barnet 015F,U,E09000003,Barnet,1786,1831,0.27132488469940164,1.0
61,E01000325,Bexley 014A,E01000325,Bexley 014A,U,E09000004,Bexley,1610,1647,0.3913394414465912,1.0
62,E01000326,Bexley 014B,E01000326,Bexley 014B,U,E09000004,Bexley,1295,1381,0.27331011587505305,1.0
63,E01000327,Bexley 017A,E01000327,Bexley 017A,U,E09000004,Bexley,1543,1628,0.39190984843024407,1.0
64,E01000328,Bexley 017B,E01000328,Bexley 017B,U,E09000004,Bexley,1480,1635,0.5433404683708303,1.0
65,E01000329,Bexley 017C,E01000329,Bexley 017C,U,E09000004,Bexley,1316,1695,0.4812091767997385,1.0
66,E01000330,Bexley 017D,E01000330,Bexley 017D,U,E09000004,Bexley,1544,1656,0.25514343328340916,1.0
67,E01000331,Bexley 017E,E01000331,Bexley 017E,U,E09000004,Bexley,1630,1689,0.5341527653501037,1.0
68,E01000332,Bexley 005A,E01000332,Bexley 005A,U,E09000004,Bexley,1529,1593,0.2781605686225165,1.0
69,E01000333,Bexley 003A,E01000333,Bexley 003A,U,E09000004,Bexley,1666,1917,0.29055708302464245,1.0
70,E01000334,Bexley 006A,E01000334,Bexley 006A,U,E09000004,Bexley,1611,1675,0.2650226650675369,1.0
71,E01000335,Bexley 003B,E01000335,Bexley 003B,U,E09000004,Bexley,1794,2726,1.3894804941030332,1.0
72,E01000336,Bexley 003C,E01000336,Bexley 003C,U,E09000004,Bexley,1886,1998,0.18079009365672932,1.0
73,E01000337,Bexley 003D,E01000337,Bexley 003D,U,E09000004,Bexley,1653,1736,0.27477015605884886,1.0
74,E01000338,Bexley 003E,E01000338,Bexley 003E,U,E09000004,Bexley,1751,1854,0.17322862627405153,1.0
75,E01000339,Bexley 025A,E01000339,Bexley 025A,U,E09000004,Bexley,1530,1619,0.25504944998805684,1.0
76,E01000340,Bexley 018A,E01000340,Bexley 018A,U,E09000004,Bexley,1502,1584,0.23249474815270588,1.0
77,E01000341,Bexley 022A,E01000341,Bexley 022A,U,E09000004,Bexley,1490,1542,0.2429009258408369,1.0
78,E01000342,Bexley 022B,E01000342,Bexley 022B,U,E09000004,Bexley,1595,1524,0.21879056030662508,1.0
79,E01000343,Bexley 022C,E01000343,Bexley 022C,U,E09000004,Bexley,1535,1509,0.30305411783483555,1.0
