LSOA11CD,LSOA11NM,LSOA21CD,LSOA21NM,CHGIND,LAD22CD,LAD22NM,TotalRes11,TotalRes21,sqkm21
E01000001,City of London 001A,E01000001,City of London 001A,U,E09000001,City of London,1465,1475,0.12987
E01000002,City of London 001B,E01000002,City of London 001B,U,E09000001,City of London,1436,1384,0.22842
E01000003,City of London 001C,E01000003,City of London 001C,U,E09000001,City of London,1346,1613,0.05905
E01000005,City of London 001E,E01000005,City of London 001E,U,E09000001,City of London,985,1100,0.18958
E01000006,Barking and Dagenham 016A,E01000006,Barking and Dagenham 016A,U,E09000002,Barking and Dagenham,1703,1845,0.14654
E01000007,Barking and Dagenham 015A,E01000007,Barking and Dagenham 015A,U,E09000002,Barking and Dagenham,1391,2908,0.20009
E01000008,Barking and Dagenham 015B,E01000008,Barking and Dagenham 015B,U,E09000002,Barking and Dagenham,1544,1795,0.19365
E01000009,Barking and Dagenham 016B,E01000009,Barking and Dagenham 016B,U,E09000002,Barking and Dagenham,1773,1804,0.12796
E01000011,Barking and Dagenham 016C,E01000011,Barking and Dagenham 016C,U,E09000002,Barking and Dagenham,1634,1701,0.09163
E01000012,Barking and Dagenham 015D,E01000012,Barking and Dagenham 015D,U,E09000002,Barking and Dagenham,1901,2347,0.14043
E01000013,Barking and Dagenham 013A,E01000013,Barking and Dagenham 013A,U,E09000002,Barking and Dagenham,1660,1871,0.20783
E01000014,Barking and Dagenham 013B,E01000014,Barking and Dagenham 013B,U,E09000002,Barking and Dagenham,1656,1751,0.34122
E01000015,Barking and Dagenham 009A,E01000015,Barking and Dagenham 009A,U,E09000002,Barking and Dagenham,2241,2418,0.28063
E01000016,Barking and Dagenham 009B,E01000016,Barking and Dagenham 009B,U,E09000002,Barking and Dagenham,1637,1851,0.19878
E01000017,Barking and Dagenham 009C,E01000017,Barking and Dagenham 009C,U,E09000002,Barking and Dagenham,1594,1722,0.15837
E01000018,Barking and Dagenham 009D,E01000018,Barking and Dagenham 009D,U,E09000002,Barking and Dagenham,1597,1776,0.17398
E01000019,Barking and Dagenham 023A,E01000019,Barking and Dagenham 023A,U,E09000002,Barking and Dagenham,1407,1657,0.18308
E01000020,Barking and Dagenham 023B,E01000020,Barking and Dagenham 023B,U,E09000002,Barking and Dagenham,1834,2191,0.18724
E01000021,Barking and Dagenham 008A,E01000021,Barking and Dagenham 008A,U,E09000002,Barking and Dagenham,1579,1693,0.17015
E01000022,Barking and Dagenham 008B,E01000022,Barking and Dagenham 008B,U,E09000002,Barking and Dagenham,1314,1477,0.12826
E01000024,Barking and Dagenham 008D,E01000024,Barking and Dagenham 008D,U,E09000002,Barking and Dagenham,1336,1485,0.12864
E01000025,Barking and Dagenham 008E,E01000025,Barking and Dagenham 008E,U,E09000002,Barking and Dagenham,1609,1920,0.15335
E01000027,Barking and Dagenham 001A,E01000027,Barking and Dagenham 001A,U,E09000002,Barking and Dagenham,1709,2082,1.47453
E01000028,Barking and Dagenham 001B,E01000028,Barking and Dagenham 001B,U,E09000002,Barking and Dagenham,1549,1817,0.14389
E01000029,Barking and Dagenham 001C,E01000029,Barking and Dagenham 001C,U,E09000002,Barking and Dagenham,1602,1819,0.25688
E01000030,Barking and Dagenham 001D,E01000030,Barking and Dagenham 001D,U,E09000002,Barking and Dagenham,1915,2563,0.28627
E01000031,Barking and Dagenham 002A,E01000031,Barking and Dagenham 002A,U,E09000002,Barking and Dagenham,1617,1770,0.84342
E01000032,Barking and Dagenham 002B,E01000032,Barking and Dagenham 002B,U,E09000002,Barking and Dagenham,1629,2078,0.37543
E01000033,Barking and Dagenham 006A,E01000033,Barking and Dagenham 006A,U,E09000002,Barking and Dagenham,1361,1543,0.14532
E01000034,Barking and Dagenham 003A,E01000034,Barking and Dagenham 003A,U,E09000002,Barking and Dagenham,1444,1575,0.51366
E01000035,Barking and Dagenham 010A,E01000035,Barking and Dagenham 010A,U,E09000002,Barking and Dagenham,1610,1859,0.39716
E01000036,Barking and Dagenham 010B,E01000036,Barking and Dagenham 010B,U,E09000002,Barking and Dagenham,1353,1470,0.41869
E01000037,Barking and Dagenham 003B,E01000037,Barking and Dagenham 003B,U,E09000002,Barking and Dagenham,1688,1696,0.23343
E01000038,Barking and Dagenham 003C,E01000038,Barking and Dagenham 003C,U,E09000002,Barking and Dagenham,1447,1616,0.21405
E01000039,Barking and Dagenham 003D,E01000039,Barking and Dagenham 003D,U,E09000002,Barking and Dagenham,1603,1752,1.53181
E01000040,Barking and Dagenham 019A,E01000040,Barking and Dagenham 019A,U,E09000002,Barking and Dagenham,1569,1879,0.17071
E01000041,Barking and Dagenham 017A,E01000041,Barking and Dagenham 017A,U,E09000002,Barking and Dagenham,1682,1842,0.15264
E01000042,Barking and Dagenham 017B,E01000042,Barking and Dagenham 017B,U,E09000002,Barking and Dagenham,1788,1882,0.23123
E01000043,Barking and Dagenham 019B,E01000043,Barking and Dagenham 019B,U,E09000002,Barking and Dagenham,1358,1537,0.26636
E01000044,Barking and Dagenham 016D,E01000044,Barking and Dagenham 016D,U,E09000002,Barking and Dagenham,1798,1988,0.17063
E01000045,Barking and Dagenham 017C,E01000045,Barking and Dagenham 017C,U,E09000002,Barking and Dagenham,1650,1723,0.29825
E01000046,Barking and Dagenham 017D,E01000046,Barking and Dagenham 017D,U,E09000002,Barking and Dagenham,1779,1956,0.15549
