LSOA11CD,LSOA11NM,MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
E01000006,Barking and Dagenham 016A,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,4.0,9.0,6.0,8.0,8.0,8.0,5.0,12.0,7.0,12.0,5.0
E01000007,Barking and Dagenham 015A,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,39.0,32.0,19.0,30.0,19.0,36.0,35.0,25.0,21.0,34.0,27.0
E01000008,Barking and Dagenham 015B,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,11.0,11.0,17.0,8.0,20.0,24.0,20.0,14.0,15.0,10.0,18.0
E01000009,Barking and Dagenham 016B,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,37.0,33.0,14.0,11.0,20.0,21.0,15.0,26.0,14.0,16.0,20.0
E01000010,Barking and Dagenham 015C,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,67.0,47.0,54.0,40.0,44.0,66.0,71.0,76.0,59.0,54.0,77.0
E01000011,Barking and Dagenham 016C,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,13.0,10.0,16.0,8.0,9.0,15.0,7.0,8.0,8.0,8.0,12.0
E01000012,Barking and Dagenham 015D,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,20.0,16.0,14.0,24.0,14.0,20.0,23.0,16.0,9.0,26.0,3.0
E01000013,Barking and Dagenham 013A,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,34.0,19.0,16.0,22.0,20.0,21.0,32.0,18.0,25.0,24.0,15.0
E01000014,Barking and Dagenham 013B,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,22.0,22.0,31.0,17.0,13.0,26.0,4.0,13.0,14.0,10.0,6.0
E01000015,Barking and Dagenham 009A,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,31.0,24.0,22.0,21.0,17.0,20.0,7.0,15.0,13.0,14.0,21.0
E01000016,Barking and Dagenham 009B,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,15.0,13.0,19.0,12.0,11.0,18.0,15.0,11.0,7.0,16.0,7.0
E01000017,Barking and Dagenham 009C,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,14.0,11.0,10.0,5.0,14.0,10.0,12.0,6.0,8.0,8.0,9.0
E01000018,Barking and Dagenham 009D,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,14.0,13.0,11.0,12.0,7.0,13.0,20.0,26.0,12.0,12.0,17.0
E01000019,Barking and Dagenham 023A,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,21.0,7.0,11.0,8.0,7.0,9.0,12.0,12.0,5.0,2.0,7.0
E01000020,Barking and Dagenham 023B,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,17.0,5.0,14.0,6.0,5.0,12.0,12.0,10.0,12.0,4.0,6.0
E01000021,Barking and Dagenham 008A,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,24.0,11.0,13.0,13.0,17.0,18.0,24.0,14.0,8.0,18.0,14.0
E01000022,Barking and Dagenham 008B,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,18.0,11.0,4.0,6.0,6.0,11.0,7.0,4.0,5.0,8.0,4.0
E01000023,Barking and Dagenham 008C,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,18.0,15.0,21.0,40.0,73.0,86.0,86.0,26.0,32.0,16.0,12.0
E01000024,Barking and Dagenham 008D,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,11.0,6.0,4.0,9.0,6.0,11.0,5.0,7.0,5.0,6.0,7.0
E01000025,Barking and Dagenham 008E,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,14.0,6.0,8.0,12.0,4.0,4.0,12.0,14.0,7.0,10.0,11.0
E01000027,Barking and Dagenham 001A,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,26.0,24.0,22.0,19.0,18.0,24.0,17.0,21.0,28.0,34.0,19.0
E01000028,Barking and Dagenham 001B,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,19.0,13.0,14.0,13.0,25.0,7.0,7.0,4.0,8.0,4.0,6.0
E01000029,Barking and Dagenham 001C,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,14.0,9.0,5.0,8.0,9.0,10.0,7.0,11.0,6.0,8.0,10.0
E01000030,Barking and Dagenham 001D,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,45.0,32.0,21.0,15.0,23.0,18.0,15.0,21.0,20.0,24.0,33.0
E01000031,Barking and Dagenham 002A,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,9.0,16.0,7.0,13.0,10.0,16.0,10.0,14.0,16.0,8.0,11.0
E01000032,Barking and Dagenham 002B,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,20.0,16.0,7.0,8.0,10.0,18.0,21.0,10.0,10.0,12.0,11.0
E01000033,Barking and Dagenham 006A,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,9.0,11.0,11.0,11.0,14.0,29.0,12.0,10.0,7.0,2.0,11.0
E01000034,Barking and Dagenham 003A,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,12.0,3.0,10.0,8.0,9.0,13.0,25.0,12.0,10.0,14.0,12.0
E01000035,Barking and Dagenham 010A,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,34.0,19.0,19.0,21.0,24.0,23.0,10.0,16.0,18.0,20.0,18.0
E01000036,Barking and Dagenham 010B,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,18.0,12.0,7.0,9.0,16.0,14.0,6.0,14.0,7.0,6.0,8.0
E01000037,Barking and Dagenham 003B,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,9.0,6.0,4.0,4.0,6.0,8.0,5.0,6.0,8.0,0.0,9.0
E01000038,Barking and Dagenham 003C,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,3.0,6.0,4.0,15.0,10.0,3.0,5.0,7.0,6.0,4.0,5.0
E01000039,Barking and Dagenham 003D,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,8.0,7.0,7.0,7.0,9.0,6.0,3.0,3.0,9.0,10.0,9.0
E01000040,Barking and Dagenham 019A,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,16.0,17.0,11.0,11.0,8.0,20.0,12.0,15.0,13.0,8.0,12.0
E01000041,Barking and Dagenham 017A,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,16.0,8.0,7.0,15.0,11.0,10.0,12.0,14.0,3.0,2.0,8.0
E01000042,Barking and Dagenham 017B,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,23.0,17.0,12.0,17.0,16.0,22.0,14.0,12.0,11.0,14.0,12.0
E01000043,Barking and Dagenham 019B,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,16.0,17.0,8.0,11.0,17.0,8.0,9.0,8.0,6.0,6.0,12.0
E01000044,Barking and Dagenham 016D,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,14.0,12.0,15.0,8.0,8.0,7.0,5.0,8.0,5.0,8.0,2.0
E01000045,Barking and Dagenham 017C,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,28.0,16.0,15.0,23.0,18.0,28.0,25.0,23.0,36.0,28.0,13.0
E01000046,Barking and Dagenham 017D,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,18.0,11.0,10.0,21.0,13.0,8.0,13.0,9.0,14.0,6.0,14.0
E01000048,Barking and Dagenham 021B,E02000022,Barking and Dagenham 021,E09000002,Barking and Dagenham,21.0,19.0,10.0,16.0,11.0,17.0,11.0,3.0,9.0,0.0,1.0
E01000049,Barking and Dagenham 021C,E02000022,Barking and Dagenham 021,E09000002,Barking and Dagenham,23.0,7.0,17.0,10.0,14.0,14.0,8.0,14.0,18.0,28.0,18.0
E01000050,Barking and Dagenham 019C,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,16.0,13.0,14.0,15.0,10.0,9.0,4.0,25.0,7.0,6.0,10.0
E01000051,Barking and Dagenham 021D,E02000022,Barking and Dagenham 021,E09000002,Barking and Dagenham,17.0,13.0,9.0,5.0,9.0,8.0,14.0,9.0,5.0,8.0,3.0
E01000052,Barking and Dagenham 019D,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,14.0,14.0,27.0,24.0,27.0,16.0,18.0,13.0,16.0,10.0,14.0
E01000053,Barking and Dagenham 020A,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,19.0,20.0,14.0,23.0,21.0,14.0,14.0,13.0,8.0,2.0,14.0
E01000054,Barking and Dagenham 018A,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,18.0,18.0,28.0,16.0,12.0,3.0,10.0,6.0,10.0,10.0,10.0
E01000055,Barking and Dagenham 018B,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,25.0,20.0,13.0,15.0,14.0,18.0,14.0,9.0,19.0,2.0,9.0
E01000056,Barking and Dagenham 018C,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,26.0,22.0,24.0,28.0,15.0,19.0,14.0,18.0,13.0,16.0,17.0
E01000057,Barking and Dagenham 012A,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,10.0,26.0,25.0,27.0,11.0,10.0,10.0,12.0,21.0,6.0,15.0
E01000058,Barking and Dagenham 018D,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,15.0,13.0,15.0,14.0,12.0,14.0,25.0,13.0,6.0,12.0,17.0
E01000059,Barking and Dagenham 013C,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,18.0,12.0,16.0,12.0,12.0,9.0,6.0,8.0,7.0,10.0,4.0
E01000060,Barking and Dagenham 006B,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,18.0,31.0,22.0,21.0,25.0,22.0,16.0,19.0,19.0,20.0,19.0
E01000061,Barking and Dagenham 006C,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,22.0,25.0,31.0,22.0,28.0,25.0,20.0,12.0,24.0,20.0,21.0
E01000062,Barking and Dagenham 006D,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,18.0,20.0,18.0,20.0,10.0,19.0,11.0,4.0,17.0,18.0,11.0
E01000063,Barking and Dagenham 004A,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,17.0,24.0,7.0,12.0,22.0,14.0,12.0,6.0,7.0,10.0,6.0
E01000064,Barking and Dagenham 006E,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,11.0,23.0,17.0,12.0,15.0,15.0,16.0,7.0,15.0,22.0,15.0
E01000065,Barking and Dagenham 007A,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,22.0,20.0,13.0,12.0,15.0,13.0,11.0,8.0,8.0,18.0,6.0
E01000066,Barking and Dagenham 011A,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,14.0,6.0,5.0,3.0,6.0,9.0,9.0,9.0,4.0,28.0,7.0
E01000067,Barking and Dagenham 011B,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,11.0,8.0,8.0,6.0,22.0,12.0,13.0,5.0,10.0,2.0,7.0
E01000068,Barking and Dagenham 016E,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,13.0,9.0,8.0,7.0,4.0,15.0,11.0,6.0,20.0,10.0,6.0
E01000069,Barking and Dagenham 011C,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,9.0,4.0,4.0,3.0,16.0,5.0,11.0,9.0,5.0,2.0,3.0
E01000070,Barking and Dagenham 011D,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,18.0,12.0,12.0,21.0,18.0,18.0,19.0,10.0,14.0,6.0,18.0
E01000071,Barking and Dagenham 011E,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,18.0,10.0,6.0,2.0,14.0,3.0,9.0,8.0,10.0,0.0,9.0
E01000072,Barking and Dagenham 017E,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,21.0,21.0,27.0,15.0,24.0,23.0,27.0,20.0,16.0,12.0,14.0
E01000073,Barking and Dagenham 012B,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,13.0,7.0,7.0,12.0,10.0,3.0,8.0,10.0,19.0,14.0,6.0
E01000074,Barking and Dagenham 012C,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,13.0,14.0,12.0,10.0,15.0,7.0,9.0,5.0,13.0,14.0,6.0
E01000075,Barking and Dagenham 012D,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,24.0,16.0,16.0,26.0,12.0,17.0,17.0,16.0,19.0,6.0,10.0
E01000076,Barking and Dagenham 012E,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,16.0,11.0,10.0,10.0,13.0,13.0,12.0,10.0,8.0,8.0,24.0
E01000077,Barking and Dagenham 008F,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,28.0,15.0,12.0,8.0,14.0,14.0,9.0,13.0,14.0,8.0,15.0
E01000078,Barking and Dagenham 007B,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,27.0,17.0,15.0,23.0,17.0,19.0,11.0,17.0,16.0,4.0,20.0
E01000079,Barking and Dagenham 009E,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,11.0,10.0,11.0,14.0,13.0,11.0,7.0,7.0,13.0,4.0,9.0
E01000080,Barking and Dagenham 007C,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,28.0,11.0,13.0,9.0,6.0,12.0,12.0,6.0,14.0,16.0,12.0
E01000081,Barking and Dagenham 007D,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,20.0,14.0,11.0,13.0,9.0,9.0,15.0,5.0,12.0,4.0,4.0
E01000082,Barking and Dagenham 007E,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,24.0,17.0,12.0,8.0,14.0,10.0,9.0,19.0,8.0,16.0,10.0
E01000083,Barking and Dagenham 007F,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,16.0,10.0,13.0,9.0,12.0,13.0,8.0,6.0,9.0,6.0,7.0
E01000084,Barking and Dagenham 013D,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,10.0,10.0,17.0,19.0,24.0,16.0,11.0,14.0,12.0,16.0,15.0
E01000085,Barking and Dagenham 013E,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,21.0,12.0,11.0,12.0,13.0,23.0,16.0,10.0,12.0,22.0,15.0
E01000086,Barking and Dagenham 013F,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,10.0,20.0,12.0,13.0,14.0,15.0,11.0,5.0,3.0,10.0,7.0
E01000087,Barking and Dagenham 020B,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,22.0,20.0,28.0,38.0,13.0,47.0,48.0,24.0,26.0,16.0,22.0
E01000088,Barking and Dagenham 020C,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,14.0,12.0,13.0,20.0,7.0,14.0,22.0,7.0,8.0,4.0,15.0
E01000089,Barking and Dagenham 020D,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,9.0,9.0,18.0,9.0,12.0,6.0,14.0,16.0,8.0,18.0,18.0
E01000090,Barking and Dagenham 020E,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,16.0,10.0,9.0,21.0,11.0,18.0,8.0,8.0,8.0,22.0,15.0
E01000091,Barking and Dagenham 022A,E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,28.0,14.0,19.0,14.0,24.0,27.0,23.0,23.0,8.0,18.0,17.0
E01000092,Barking and Dagenham 019E,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,37.0,30.0,28.0,36.0,37.0,57.0,33.0,25.0,44.0,52.0,38.0
E01000093,Barking and Dagenham 022B,E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,24.0,11.0,27.0,11.0,18.0,18.0,32.0,12.0,10.0,20.0,11.0
E01000094,Barking and Dagenham 022C,E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,6.0,5.0,3.0,7.0,20.0,18.0,17.0,10.0,11.0,22.0,10.0
E01000095,Barking and Dagenham 018E,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,52.0,35.0,28.0,21.0,18.0,45.0,22.0,26.0,27.0,18.0,28.0
E01000096,Barking and Dagenham 022D,E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,30.0,23.0,14.0,19.0,18.0,23.0,26.0,6.0,10.0,8.0,12.0
E01000097,Barking and Dagenham 023C,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,20.0,12.0,14.0,18.0,10.0,5.0,11.0,2.0,20.0,4.0,14.0
E01000098,Barking and Dagenham 023D,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,20.0,20.0,11.0,13.0,12.0,10.0,24.0,14.0,7.0,12.0,7.0
E01000099,Barking and Dagenham 023E,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,23.0,17.0,8.0,6.0,18.0,12.0,10.0,11.0,5.0,20.0,7.0
