LSOA11CD,LSOA11NM,LAD11CD,LAD11NM,HHI_mean_2001,HHI_mean_2002,HHI_mean_2003,HHI_mean_2004,HHI_mean_2005,HHI_mean_2006,HHI_mean_2007,HHI_mean_2008,HHI_mean_2009,HHI_mean_2010,HHI_mean_2011,HHI_mean_2012
E01000001,City of London 001A,E09000001,City of London,70480,71790,75340,80300,81980,87310,89010,95560,95730,99460,103120,105400
E01000002,City of London 001B,E09000001,City of London,69250,70790,74560,79740,81680,87280,89250,96120,96580,100630,104640,107250
E01000003,City of London 001C,E09000001,City of London,54030,55240,58190,62270,63830,68260,69880,75340,75790,79080,82340,84510
E01000005,City of London 001E,E09000001,City of London,46340,47280,49720,53120,54390,58110,59450,64060,64420,67210,69980,71840
E01032739,City of London 001F,E09000001,City of London,68780,69790,72970,77490,78830,83680,85020,90990,90870,94140,97330,99220
E01032740,City of London 001G,E09000001,City of London,62950,64430,67940,72750,74610,79820,81710,88100,88600,92400,96160,98630
E01000006,Barking and Dagenham 016A,E09000002,Barking and Dagenham,29610,30060,31490,33540,34250,36520,37290,40110,40270,41950,43610,44700
E01000007,Barking and Dagenham 015A,E09000002,Barking and Dagenham,25170,25540,26770,28550,29200,31180,31900,34400,34610,36140,37660,38690
E01000008,Barking and Dagenham 015B,E09000002,Barking and Dagenham,24860,25130,26240,27870,28410,30240,30840,33150,33270,34650,36020,36930
E01000009,Barking and Dagenham 016B,E09000002,Barking and Dagenham,28090,28410,29660,31490,32070,34090,34710,37240,37290,38750,40190,41100
E01000010,Barking and Dagenham 015C,E09000002,Barking and Dagenham,25630,26160,27570,29550,30380,32600,33500,36270,36650,38400,40150,41380
E01000011,Barking and Dagenham 016C,E09000002,Barking and Dagenham,27070,27450,28740,30590,31230,33280,33980,36550,36700,38220,39740,40740
E01000012,Barking and Dagenham 015D,E09000002,Barking and Dagenham,26800,27090,28280,30030,30580,32530,33160,35610,35710,37150,38580,39510
E01000013,Barking and Dagenham 013A,E09000002,Barking and Dagenham,25350,25740,26980,28770,29430,31440,32170,34680,34890,36410,37920,38940
E01000014,Barking and Dagenham 013B,E09000002,Barking and Dagenham,25880,26190,27360,29080,29640,31560,32200,34610,34720,36150,37550,38470
E01000015,Barking and Dagenham 009A,E09000002,Barking and Dagenham,25270,25610,26800,28530,29140,31070,31740,34160,34320,35760,37200,38140
E01000016,Barking and Dagenham 009B,E09000002,Barking and Dagenham,25770,26170,27440,29260,29930,31970,32700,35240,35450,36980,38510,39530
E01000017,Barking and Dagenham 009C,E09000002,Barking and Dagenham,25310,25690,26940,28730,29380,31380,32110,34610,34820,36340,37850,38860
E01000018,Barking and Dagenham 009D,E09000002,Barking and Dagenham,25750,26150,27420,29250,29920,31960,32700,35250,35460,37010,38540,39560
E01000019,Barking and Dagenham 023A,E09000002,Barking and Dagenham,26490,26840,28080,29870,30490,32500,33180,35690,35840,37330,38810,39780
E01000020,Barking and Dagenham 023B,E09000002,Barking and Dagenham,25760,26190,27490,29350,30050,32130,32900,35490,35730,37320,38890,39950
E01000021,Barking and Dagenham 008A,E09000002,Barking and Dagenham,26590,26740,27770,29340,29750,31500,31970,34190,34150,35390,36620,37360
E01000022,Barking and Dagenham 008B,E09000002,Barking and Dagenham,27060,27390,28630,30430,31030,33050,33710,36230,36350,37840,39310,40270
E01000023,Barking and Dagenham 008C,E09000002,Barking and Dagenham,27430,27700,28880,30640,31170,33130,33740,36200,36270,37700,39120,40020
E01000024,Barking and Dagenham 008D,E09000002,Barking and Dagenham,26660,26970,28180,29940,30520,32490,33130,35600,35710,37170,38610,39540
E01000025,Barking and Dagenham 008E,E09000002,Barking and Dagenham,26040,26410,27650,29460,30100,32110,32820,35350,35540,37070,38580,39600
E01000027,Barking and Dagenham 001A,E09000002,Barking and Dagenham,24560,24970,26210,27990,28680,30690,31470,34000,34290,35870,37450,38540
E01000028,Barking and Dagenham 001B,E09000002,Barking and Dagenham,25450,25680,26770,28390,28900,30720,31300,33610,33700,35050,36400,37270
E01000029,Barking and Dagenham 001C,E09000002,Barking and Dagenham,29300,29480,30630,32390,32850,34810,35340,37820,37790,39180,40540,41370
E01000030,Barking and Dagenham 001D,E09000002,Barking and Dagenham,24640,24950,26100,27780,28380,30270,30950,33350,33540,35000,36460,37440
