LSOA11CD,LSOA11NM,LAD11CD,LAD11NM,HHI_median_2001,HHI_median_2002,HHI_median_2003,HHI_median_2004,HHI_median_2005,HHI_median_2006,HHI_median_2007,HHI_median_2008,HHI_median_2009,HHI_median_2010,HHI_median_2011,HHI_median_2012
E01000001,City of London 001A,E09000001,City of London,45630,46540,48110,51150,51410,54540,56250,58110,60720,62420,65520,66790
E01000002,City of London 001B,E09000001,City of London,44970,46010,47700,50860,51250,54520,56380,58390,61160,63030,66300,67750
E01000003,City of London 001C,E09000001,City of London,36330,37190,38590,41180,41540,44230,45800,47480,49800,51390,54140,55390
E01000005,City of London 001E,E09000001,City of London,31530,32240,33410,35610,35900,38200,39540,40990,42980,44360,46740,47840
E01032739,City of London 001F,E09000001,City of London,44710,45470,46860,49670,49770,52650,54160,55800,58160,59650,62460,63530
E01032740,City of London 001G,E09000001,City of London,41510,42520,44140,47110,47540,50620,52400,54310,56940,58730,61830,63220
E01000006,Barking and Dagenham 016A,E09000002,Barking and Dagenham,26360,26820,27700,29440,29610,31460,32500,33640,35230,36300,38200,39040
E01000007,Barking and Dagenham 015A,E09000002,Barking and Dagenham,22310,22700,23460,24970,25160,26780,27740,28780,30220,31230,32940,33760
E01000008,Barking and Dagenham 015B,E09000002,Barking and Dagenham,22010,22310,22950,24340,24430,25910,26750,27670,28970,29860,31430,32130
E01000009,Barking and Dagenham 016B,E09000002,Barking and Dagenham,25010,25360,26100,27660,27730,29370,30260,31240,32640,33550,35230,35930
E01000010,Barking and Dagenham 015C,E09000002,Barking and Dagenham,22740,23290,24200,25900,26230,28060,29190,30420,32060,33250,35190,36170
E01000011,Barking and Dagenham 016C,E09000002,Barking and Dagenham,24080,24490,25270,26850,26990,28670,29620,30650,32110,33090,34830,35610
E01000012,Barking and Dagenham 015D,E09000002,Barking and Dagenham,23830,24150,24850,26330,26420,28000,28880,29850,31220,32130,33780,34500
E01000013,Barking and Dagenham 013A,E09000002,Barking and Dagenham,22480,22880,23650,25180,25380,27010,27980,29030,30470,31470,33190,33990
E01000014,Barking and Dagenham 013B,E09000002,Barking and Dagenham,22980,23310,24000,25460,25570,27130,28010,28970,30320,31230,32850,33560
E01000015,Barking and Dagenham 009A,E09000002,Barking and Dagenham,22400,22760,23490,24960,25110,26680,27590,28570,29950,30880,32520,33260
E01000016,Barking and Dagenham 009B,E09000002,Barking and Dagenham,22880,23290,24080,25640,25830,27490,28460,29520,30980,31990,33720,34520
E01000017,Barking and Dagenham 009C,E09000002,Barking and Dagenham,22440,22840,23610,25140,25330,26970,27930,28970,30410,31410,33120,33910
E01000018,Barking and Dagenham 009D,E09000002,Barking and Dagenham,22850,23270,24060,25620,25820,27480,28460,29530,30990,32010,33750,34560
E01000019,Barking and Dagenham 023A,E09000002,Barking and Dagenham,23550,23920,24660,26200,26340,27970,28900,29920,31340,32300,33990,34750
E01000020,Barking and Dagenham 023B,E09000002,Barking and Dagenham,22870,23310,24130,25720,25940,27640,28650,29740,31240,32290,34070,34910
E01000021,Barking and Dagenham 008A,E09000002,Barking and Dagenham,23640,23820,24380,25710,25660,27070,27800,28600,29790,30540,31980,32540
E01000022,Barking and Dagenham 008B,E09000002,Barking and Dagenham,24070,24430,25170,26700,26820,28460,29380,30380,31800,32750,34440,35190
E01000023,Barking and Dagenham 008C,E09000002,Barking and Dagenham,24410,24710,25400,26890,26950,28530,29400,30360,31720,32630,34270,34970
E01000024,Barking and Dagenham 008D,E09000002,Barking and Dagenham,23710,24040,24750,26260,26360,27960,28850,29840,31220,32150,33810,34530
E01000025,Barking and Dagenham 008E,E09000002,Barking and Dagenham,23130,23520,24280,25810,25980,27620,28580,29620,31070,32060,33790,34580
E01000027,Barking and Dagenham 001A,E09000002,Barking and Dagenham,21730,22150,22920,24450,24680,26330,27330,28430,29920,30980,32750,33620
E01000028,Barking and Dagenham 001B,E09000002,Barking and Dagenham,22570,22830,23450,24830,24880,26360,27180,28080,29370,30230,31780,32450
E01000029,Barking and Dagenham 001C,E09000002,Barking and Dagenham,26080,26310,26950,28440,28420,30000,30820,31740,33070,33930,35540,36170
E01000030,Barking and Dagenham 001D,E09000002,Barking and Dagenham,21800,22130,22820,24250,24400,25950,26850,27840,29220,30180,31830,32610
E01000031,Barking and Dagenham 002A,E09000002,Barking and Dagenham,28030,28310,29030,30650,30620,32320,33190,34160,35570,36450,38150,38780
E01000032,Barking and Dagenham 002B,E09000002,Barking and Dagenham,25590,25950,26720,28330,28420,30120,31050,32080,33530,34500,36230,36970
E01000033,Barking and Dagenham 006A,E09000002,Barking and Dagenham,23260,23620,24360,25880,26030,27660,28600,29620,31050,32030,33730,34510
E01000034,Barking and Dagenham 003A,E09000002,Barking and Dagenham,25370,25750,26530,28150,28270,29990,30950,32010,33500,34510,36300,37080
E01000035,Barking and Dagenham 010A,E09000002,Barking and Dagenham,25940,26350,27160,28830,28970,30740,31730,32810,34340,35360,37170,37960
E01000036,Barking and Dagenham 010B,E09000002,Barking and Dagenham,26110,26610,27520,29310,29530,31420,32520,33720,35370,36510,38460,39360
E01000037,Barking and Dagenham 003B,E09000002,Barking and Dagenham,28620,29040,29900,31700,31810,33700,34750,35890,37510,38580,40510,41330
E01000038,Barking and Dagenham 003C,E09000002,Barking and Dagenham,27310,27680,28470,30160,30240,32020,32990,34060,35580,36570,38390,39140
E01000039,Barking and Dagenham 003D,E09000002,Barking and Dagenham,29520,29710,30340,31920,31770,33410,34190,35070,36400,37190,38810,39350
E01000040,Barking and Dagenham 019A,E09000002,Barking and Dagenham,21890,22380,23240,24850,25140,26870,27930,29080,30630,31740,33570,34490
E01000041,Barking and Dagenham 017A,E09000002,Barking and Dagenham,22660,23050,23810,25340,25530,27180,28160,29230,30710,31740,33500,34350
E01000042,Barking and Dagenham 017B,E09000002,Barking and Dagenham,22330,22650,23330,24770,24890,26440,27330,28300,29670,30620,32270,33030
E01000043,Barking and Dagenham 019B,E09000002,Barking and Dagenham,23990,24350,25090,26630,26750,28390,29310,30320,31740,32700,34390,35140
E01000044,Barking and Dagenham 016D,E09000002,Barking and Dagenham,25530,25850,26550,28080,28110,29720,30570,31510,32860,33740,35370,36020
E01000045,Barking and Dagenham 017C,E09000002,Barking and Dagenham,23070,23470,24250,25810,26000,27670,28660,29750,31240,32280,34060,34910
E01000046,Barking and Dagenham 017D,E09000002,Barking and Dagenham,23430,23710,24370,25810,25880,27420,28270,29220,30560,31460,33080,33790
E01000048,Barking and Dagenham 021B,E09000002,Barking and Dagenham,18950,19270,19920,21210,21390,22790,23640,24570,25840,26740,28270,29020
E01000049,Barking and Dagenham 021C,E09000002,Barking and Dagenham,20010,20380,21070,22460,22660,24160,25060,26040,27390,28350,29960,30750
E01000050,Barking and Dagenham 019C,E09000002,Barking and Dagenham,22220,22560,23260,24710,24840,26380,27270,28230,29580,30510,32130,32860
E01000051,Barking and Dagenham 021D,E09000002,Barking and Dagenham,19210,19520,20140,21430,21590,22980,23820,24730,25990,26890,28400,29150
E01000052,Barking and Dagenham 019D,E09000002,Barking and Dagenham,23320,23590,24240,25650,25690,27190,28010,28900,30180,31030,32570,33220
E01000053,Barking and Dagenham 020A,E09000002,Barking and Dagenham,23950,24200,24830,26240,26260,27750,28550,29430,30710,31550,33100,33730
E01000054,Barking and Dagenham 018A,E09000002,Barking and Dagenham,22560,23050,23910,25550,25820,27560,28620,29770,31320,32420,34260,35160
E01000055,Barking and Dagenham 018B,E09000002,Barking and Dagenham,22790,23260,24100,25710,25950,27670,28690,29810,31330,32400,34210,35070
E01000056,Barking and Dagenham 018C,E09000002,Barking and Dagenham,23030,23450,24230,25790,25980,27640,28610,29670,31140,32150,33890,34710
E01000057,Barking and Dagenham 012A,E09000002,Barking and Dagenham,22700,23140,23940,25520,25750,27450,28460,29570,31080,32140,33940,34810
E01000058,Barking and Dagenham 018D,E09000002,Barking and Dagenham,21770,22360,23310,25010,25400,27230,28390,29640,31300,32520,34470,35490
E01000059,Barking and Dagenham 013C,E09000002,Barking and Dagenham,22440,22860,23650,25200,25420,27090,28080,29160,30650,31690,33460,34310
E01000060,Barking and Dagenham 006B,E09000002,Barking and Dagenham,22130,22550,23330,24870,25080,26730,27710,28770,30220,31240,32960,33770
E01000061,Barking and Dagenham 006C,E09000002,Barking and Dagenham,21360,21530,22040,23250,23230,24530,25210,25960,27070,27790,29130,29680
E01000062,Barking and Dagenham 006D,E09000002,Barking and Dagenham,22820,23230,24000,25550,25740,27390,28360,29420,30870,31880,33600,34410
E01000063,Barking and Dagenham 004A,E09000002,Barking and Dagenham,22870,23220,23940,25430,25550,27130,28020,29000,30370,31290,32930,33650
E01000064,Barking and Dagenham 006E,E09000002,Barking and Dagenham,22590,22910,23600,25050,25160,26710,27580,28540,29880,30780,32390,33090
E01000065,Barking and Dagenham 007A,E09000002,Barking and Dagenham,22120,22400,23020,24390,24450,25910,26710,27600,28860,29700,31210,31860
E01000066,Barking and Dagenham 011A,E09000002,Barking and Dagenham,28830,29060,29730,31330,31260,32970,33850,34840,36290,37230,39010,39730
E01000067,Barking and Dagenham 011B,E09000002,Barking and Dagenham,29910,30120,30790,32420,32320,34050,34920,35890,37350,38260,40040,40710
E01000068,Barking and Dagenham 016E,E09000002,Barking and Dagenham,28940,29440,30380,32270,32430,34410,35520,36730,38420,39540,41560,42420
E01000069,Barking and Dagenham 011C,E09000002,Barking and Dagenham,31130,31420,32180,33940,33890,35760,36720,37790,39380,40390,42310,43070
E01000070,Barking and Dagenham 011D,E09000002,Barking and Dagenham,31240,31410,32060,33700,33530,35270,36100,37040,38480,39350,41110,41740
E01000071,Barking and Dagenham 011E,E09000002,Barking and Dagenham,30630,30760,31350,32910,32700,34350,35130,36020,37390,38210,39900,40490
E01000072,Barking and Dagenham 017E,E09000002,Barking and Dagenham,22770,22940,23480,24770,24740,26120,26850,27650,28830,29590,31020,31600
E01000073,Barking and Dagenham 012B,E09000002,Barking and Dagenham,22200,22630,23410,24950,25180,26830,27820,28900,30370,31410,33160,34000
E01000074,Barking and Dagenham 012C,E09000002,Barking and Dagenham,22780,23140,23880,25380,25530,27130,28060,29080,30490,31460,33140,33920
E01000075,Barking and Dagenham 012D,E09000002,Barking and Dagenham,22840,23260,24040,25600,25800,27470,28450,29530,31010,32040,33810,34640
E01000076,Barking and Dagenham 012E,E09000002,Barking and Dagenham,22060,22410,23120,24580,24730,26290,27190,28190,29560,30520,32160,32930
E01000077,Barking and Dagenham 008F,E09000002,Barking and Dagenham,23030,23290,23910,25290,25320,26800,27600,28480,29750,30580,32110,32750
E01000078,Barking and Dagenham 007B,E09000002,Barking and Dagenham,22630,22950,23640,25080,25190,26740,27610,28570,29910,30820,32430,33150
E01000079,Barking and Dagenham 009E,E09000002,Barking and Dagenham,22720,23040,23730,25170,25280,26820,27690,28640,29970,30880,32480,33180
E01000080,Barking and Dagenham 007C,E09000002,Barking and Dagenham,22650,22950,23620,25040,25130,26650,27500,28430,29750,30640,32220,32920
E01000081,Barking and Dagenham 007D,E09000002,Barking and Dagenham,22680,23070,23830,25350,25520,27150,28100,29130,30560,31560,33260,34050
E01000082,Barking and Dagenham 007E,E09000002,Barking and Dagenham,22020,22480,23300,24870,25130,26830,27850,28970,30480,31550,33340,34210
E01000083,Barking and Dagenham 007F,E09000002,Barking and Dagenham,22470,22850,23580,25080,25250,26850,27780,28800,30220,31190,32870,33650
E01000084,Barking and Dagenham 013D,E09000002,Barking and Dagenham,23100,23470,24210,25730,25870,27490,28420,29440,30860,31830,33520,34280
E01000085,Barking and Dagenham 013E,E09000002,Barking and Dagenham,22660,22920,23540,24910,24960,26420,27220,28100,29370,30210,31730,32380
E01000086,Barking and Dagenham 013F,E09000002,Barking and Dagenham,22790,23250,24080,25690,25940,27660,28690,29820,31360,32440,34260,35140
E01000087,Barking and Dagenham 020B,E09000002,Barking and Dagenham,23060,23470,24250,25810,25990,27640,28600,29650,31100,32100,33830,34620
E01000088,Barking and Dagenham 020C,E09000002,Barking and Dagenham,24610,25020,25830,27450,27610,29340,30320,31400,32890,33910,35690,36490
E01000089,Barking and Dagenham 020D,E09000002,Barking and Dagenham,24870,25200,25910,27440,27510,29130,30010,30980,32360,33270,34930,35620
E01000090,Barking and Dagenham 020E,E09000002,Barking and Dagenham,24540,24960,25760,27370,27530,29250,30220,31290,32770,33780,35550,36330
E01000091,Barking and Dagenham 022A,E09000002,Barking and Dagenham,21740,22020,22660,24010,24100,25550,26360,27250,28500,29350,30860,31520
E01000092,Barking and Dagenham 019E,E09000002,Barking and Dagenham,23510,23970,24800,26420,26640,28370,29380,30490,32000,33050,34850,35690
E01000093,Barking and Dagenham 022B,E09000002,Barking and Dagenham,21170,21520,22210,23620,23780,25300,26180,27150,28490,29420,31020,31770
E01000094,Barking and Dagenham 022C,E09000002,Barking and Dagenham,24370,24800,25620,27260,27440,29180,30180,31270,32790,33820,35620,36430
E01000095,Barking and Dagenham 018E,E09000002,Barking and Dagenham,25500,25860,26610,28210,28290,29970,30890,31890,33320,34250,35960,36670
E01000096,Barking and Dagenham 022D,E09000002,Barking and Dagenham,22740,22940,23510,24820,24800,26190,26920,27720,28890,29650,31070,31630
E01000097,Barking and Dagenham 023C,E09000002,Barking and Dagenham,23200,23570,24320,25850,26010,27650,28590,29630,31070,32060,33780,34570
E01000098,Barking and Dagenham 023D,E09000002,Barking and Dagenham,23380,23700,24400,25870,25970,27540,28420,29380,30750,31670,33300,34030
E01000099,Barking and Dagenham 023E,E09000002,Barking and Dagenham,23040,23510,24340,25970,26220,27960,29000,30140,31680,32780,34610,35500
E01000100,Barking and Dagenham 004B,E09000002,Barking and Dagenham,22950,23370,24160,25720,25910,27570,28550,29610,31070,32090,33830,34640
E01000101,Barking and Dagenham 004C,E09000002,Barking and Dagenham,22720,23120,23880,25400,25580,27210,28150,29190,30620,31620,33320,34120
E01000102,Barking and Dagenham 007G,E09000002,Barking and Dagenham,22990,23400,24180,25740,25930,27600,28580,29650,31120,32140,33890,34720
E01000103,Barking and Dagenham 014A,E09000002,Barking and Dagenham,23030,23280,23900,25280,25320,26810,27620,28520,29810,30670,32220,32890
E01000104,Barking and Dagenham 014B,E09000002,Barking and Dagenham,21940,22250,22920,24330,24450,25960,26830,27790,29130,30050,31660,32400
E01000105,Barking and Dagenham 014C,E09000002,Barking and Dagenham,21940,22190,22790,24130,24180,25620,26420,27300,28550,29390,30900,31560
E01000106,Barking and Dagenham 014D,E09000002,Barking and Dagenham,22050,22330,22970,24340,24430,25910,26740,27660,28960,29840,31400,32100
E01000107,Barking and Dagenham 010C,E09000002,Barking and Dagenham,25090,25450,26200,27780,27880,29550,30470,31480,32910,33860,35570,36300
E01000108,Barking and Dagenham 010D,E09000002,Barking and Dagenham,24820,25170,25910,27470,27560,29220,30130,31130,32550,33500,35200,35930
E01000109,Barking and Dagenham 004D,E09000002,Barking and Dagenham,25890,26290,27080,28740,28860,30610,31580,32650,34150,35150,36940,37700
E01000110,Barking and Dagenham 002C,E09000002,Barking and Dagenham,28770,29200,30070,31890,32000,33910,34960,36110,37740,38820,40760,41580
E01000111,Barking and Dagenham 002D,E09000002,Barking and Dagenham,25540,25890,26630,28220,28300,29990,30910,31930,33380,34350,36090,36830
E01000112,Barking and Dagenham 002E,E09000002,Barking and Dagenham,27290,27570,28260,29840,29820,31490,32350,33310,34710,35600,37290,37950
E01000113,Barking and Dagenham 002F,E09000002,Barking and Dagenham,28590,28860,29570,31200,31150,32860,33720,34680,36100,36980,38690,39330
E01000114,Barking and Dagenham 004E,E09000002,Barking and Dagenham,26170,26540,27310,28950,29050,30780,31730,32770,34250,35230,36990,37740
E01032580,Barking and Dagenham 023F,E09000002,Barking and Dagenham,24000,24300,24980,26450,26510,28080,28930,29870,31220,32110,33720,34400
E01033587,Barking and Dagenham 021E,E09000002,Barking and Dagenham,22420,22700,23350,24740,24820,26310,27130,28040,29330,30200,31740,32410
E01033588,Barking and Dagenham 021F,E09000002,Barking and Dagenham,20350,20790,21570,23060,23330,24940,25940,27030,28490,29550,31300,32190
E01000115,Barnet 009A,E09000003,Barnet,31110,31620,32590,34570,34680,36730,37830,39040,40750,41860,43890,44710
E01000116,Barnet 009B,E09000003,Barnet,28380,28840,29730,31530,31640,33520,34540,35660,37240,38280,40180,40960
E01000117,Barnet 010A,E09000003,Barnet,26860,27230,28000,29660,29730,31480,32440,33490,35000,36000,37810,38580
E01000118,Barnet 010B,E09000003,Barnet,27500,27850,28620,30280,30320,32070,33020,34060,35550,36530,38340,39090
