LSOA11CD,LSOA11NM,MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,meters_n_2010,total_kWh_2010,mean_kWhpm_2010,median_kWhpm_2010,meters_n_2011,total_kWh_2011,mean_kWhpm_2011,median_kWhpm_2011,meters_n_2012,total_kWh_2012,mean_kWhpm_2012,median_kWhpm_2012,meters_n_2013,total_kWh_2013,mean_kWhpm_2013,median_kWhpm_2013,meters_n_2014,total_kWh_2014,mean_kWhpm_2014,median_kWhpm_2014,meters_n_2015,total_kWh_2015,mean_kWhpm_2015,median_kWhpm_2015,meters_n_2016,total_kWh_2016,mean_kWhpm_2016,median_kWhpm_2016,meters_n_2017,total_kWh_2017,mean_kWhpm_2017,median_kWhpm_2017,meters_n_2018,total_kWh_2018,mean_kWhpm_2018,median_kWhpm_2018,meters_n_2019,total_kWh_2019,mean_kWhpm_2019,median_kWhpm_2019,meters_n_2020,total_kWh_2020,mean_kWhpm_2020,median_kWhpm_2020
E01000001,City of London 001A,E02000001,City of London 001,E09000001,City of London,1058,4761532.5,4500.503308128545,3762.5,1058,4700669.2,4442.97656,3790.6,1057,4592456.4,4344.802649,3484.7,1057.0,4459156.6,4218.691202,3661.1,1057.0,4624139.0,4374.776726584673,3648.0,1058.0,4575433.400000003,4324.606238185258,3667.6,1057.0,4372290.000000003,4136.508987701043,3509.2,1057.0,4332642.300000007,4098.999337748352,3400.4,1058.0,4411243.505494504,4169.417301979683,3542.05,1059.0,4298382.966666663,4058.907428391561,3501.5,1059.0,4312564.292857145,4072.298671253206,3365.9
E01000002,City of London 001B,E02000001,City of London 001,E09000001,City of London,796,3498193.3,4394.715201005025,3692.55,795,3513803.4,4419.878491,3732.7,795,3431296.1,4316.095723,3545.6,1068.0,4222018.4,3953.200749,3233.8,1164.0,4551499.0,3910.2225085910654,3155.0,1162.0,4614399.199999995,3971.083648881235,3194.4,1161.0,4449693.100000007,3832.638329026707,3078.4,1156.0,4374694.600000005,3784.337889273361,3092.25,1158.0,4406310.899999995,3805.104404145073,2996.45,1159.0,4412363.800000002,3807.043830888699,3094.6,1161.0,4433415.600000001,3818.618087855299,3004.0
E01000003,City of London 001C,E02000001,City of London 001,E09000001,City of London,1116,3245222.3,2907.905286738351,2207.7,1116,3140341.1,2813.925717,2150.8,1116,3147336.0,2820.193548,2126.7,1116.0,3133326.7,2807.640412,2142.85,1116.0,3110178.0,2786.8978494623657,2217.0,1116.0,3127614.199999997,2802.521684587811,2151.3,1171.0,3064179.400000001,2616.720239111871,2096.6,1178.0,3175113.999999999,2695.342954159592,2000.15,1185.0,3133197.200000003,2644.048270042196,1920.0,1186.0,3067697.099999999,2586.591146711635,1965.5,1183.0,3053369.992857141,2581.039723463348,1832.2
E01000005,City of London 001E,E02000001,City of London 001,E09000001,City of London,576,1867479.4,3242.151736111111,2263.55,574,1942998.3,3385.01446,2211.4,593,1849294.5,3118.540472,2043.6,611.0,1862968.9,3049.048936,2148.0,598.0,1770290.0,2960.351170568562,2075.0,598.0,1728346.200000001,2890.2110367893,2090.6,569.0,1620460.744444444,2847.909919937511,2048.9,588.0,1752466.400000001,2980.385034013607,2035.5,565.0,1652313.433333335,2924.448554572274,2075.7,560.0,1515913.755555556,2706.98884920635,1995.35,561.0,1589149.799999998,2832.709090909088,2130.7
E01000006,Barking and Dagenham 016A,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,529,2402987.7,4542.509829867675,3770.95,525,2296023.2,4373.377524,3934.4,527,2278737.1,4323.979317,3966.2,529.0,2322928.4,4391.168998,3924.4,529.0,2423580.0,4581.436672967864,3962.0,529.0,2382227.100000002,4503.264839319474,3820.1,530.0,2370327.500000001,4472.316037735852,3732.05,529.0,2407099.235714284,4550.282109100726,3720.5,530.0,2213445.466666668,4176.312201257863,3688.8,528.0,2240764.5,4243.872159090909,3581.6,530.0,2306439.558571432,4351.772752021569,3503.55
E01000007,Barking and Dagenham 015A,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,640,1925764.2,3009.0065624999997,2161.8,661,2123812.6,3213.029652,2296.2,753,2211214.8,2936.540239,2105.9,756.0,2258057.2,2986.848148,2127.75,946.0,3114540.0,3292.3255813953488,2402.0,944.0,2887998.700000007,3059.320656779669,2365.05,975.0,3207635.9,3289.882974358975,2443.8,947.0,3059916.700000003,3231.168637803594,2341.5,977.0,3012180.097872339,3083.091195365751,2329.3,1336.0,3614278.480901454,2705.298264147795,1841.85,1366.0,4423857.565793648,3238.54873044923,2159.0
E01000008,Barking and Dagenham 015B,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,729,3716653.6,5098.290260631002,3787.7,528,1766210.9,3345.096402,2925.05,532,1770492.6,3327.993609,2736.75,534.0,1714356.0,3210.404494,2782.2,534.0,1758069.0,3292.2640449438204,2722.0,531.0,1529191.399999999,2879.833145009413,2608.3,531.0,1484248.600000001,2795.195103578155,2489.1,544.0,1518225.7,2790.856066176471,2467.7,543.0,1384899.7,2550.45985267035,2305.6,544.0,1471504.700000001,2704.971875000001,2461.8,545.0,1492829.900000001,2739.137431192662,2472.9
E01000009,Barking and Dagenham 016B,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,641,2544743.9,3969.9592823712946,3148.8,648,2623486.5,4048.590278,3183.85,647,2542196.5,3929.206337,3193.3,650.0,2479498.1,3814.612462,3086.25,652.0,2532767.0,3884.6119631901843,2915.0,653.0,2505680.099999999,3837.182388973964,3138.1,654.0,2591163.800000004,3962.024159021413,3177.85,654.0,2523738.599999999,3858.927522935779,2974.85,654.0,2387513.533333335,3650.632313965344,3021.2,654.0,2362502.941666666,3612.38981906218,2862.35,709.0,2653464.325000002,3742.544887165023,2808.5
E01000010,Barking and Dagenham 015C,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,1209,3932801.6,3252.937634408602,2652.6,1173,3926789.9,3347.6469740000002,2822.0,1174,4075472.6,3471.441738,2821.85,1176.0,4011670.0,3411.284014,2747.8,1287.0,4226892.0,3284.298368298368,2685.0,1328.0,4187364.600000005,3153.135993975907,2637.5,1333.0,4291383.600000006,3219.342535633913,2549.0,1324.0,4207609.400000004,3177.952719033236,2478.5,1334.0,4155747.399999994,3115.252923538226,2382.95,1338.0,4077686.174999994,3047.598038116588,2382.35,1340.0,4278092.87444444,3192.606622719731,2470.8
E01000011,Barking and Dagenham 016C,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,461,1847864.7,4008.3832971800434,3464.5,460,1861746.7,4047.275435,3399.85,462,1885571.3,4081.32316,3425.1,462.0,1936178.5,4190.862554,3409.45,467.0,1914304.0,4099.152034261242,3454.0,465.0,1901549.700000002,4089.35419354839,3425.7,466.0,1876385.900000001,4026.579184549358,3377.65,463.0,1840628.642857144,3975.439833384759,3313.2,471.0,1788933.657142857,3798.160630876555,3143.2,472.0,1720582.5,3645.301906779661,2953.75,472.0,1737520.492857144,3681.18748486683,3117.3
