LSOA11CD,LSOA11NM,MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,meters_n_2010,total_kWh_2010,mean_kWhpm_2010,median_kWhpm_2010,meters_n_2011,total_kWh_2011,mean_kWhpm_2011,median_kWhpm_2011,meters_n_2012,total_kWh_2012,mean_kWhpm_2012,median_kWhpm_2012,meters_n_2013,total_kWh_2013,mean_kWhpm_2013,median_kWhpm_2013,meters_n_2014,total_kWh_2014,mean_kWhpm_2014,median_kWhpm_2014,meters_n_2015,total_kWh_2015,mean_kWhpm_2015,median_kWhpm_2015,meters_n_2016,total_kWh_2016,mean_kWhpm_2016,median_kWhpm_2016,meters_n_2017,total_kWh_2017,mean_kWhpm_2017,median_kWhpm_2017,meters_n_2018,total_kWh_2018,mean_kWhpm_2018,median_kWhpm_2018,meters_n_2019,total_kWh_2019,mean_kWhpm_2019,median_kWhpm_2019,meters_n_2020,total_kWh_2020,mean_kWhpm_2020,median_kWhpm_2020
E01000001,City of London 001A,E02000001,City of London 001,E09000001,City of London,60.0,797916.0,13298.6,6747.0,59.0,816227.0,13834.35593220339,5444.0,59.0,762581.0,12925.101694915254,4663.0,61.0,779894.0,12785.147540983606,4580.0,60.0,780086.0,13001.433333333332,4945.5,53.0,715239.0178,13495.075808,5219.5845697,49.0,564291.79031,11516.158986,5992.0870425,52.0,620114.73788,11925.283421,4601.8793274,51.0,678120.6726,13296.483776,5755.6874382,51.0,565306.6271,11084.443669,6080.1186944,54.0,601680.28109,11142.227428,5021.0312822
E01000002,City of London 001B,E02000001,City of London 001,E09000001,City of London,15.0,198253.0,13216.866666666667,15275.0,17.0,330013.0,19412.529411764706,15651.0,18.0,279163.0,15509.055555555555,7205.0,19.0,439505.0,23131.842105263157,18625.0,21.0,487571.0,23217.666666666668,16569.0,16.0,413446.49555,25840.405972,18740.850643,16.0,361875.37092,22617.210682,20481.206726,18.0,415438.18002,23079.89889,19541.048467,18.0,469272.00791,26070.667106,25240.356083,21.0,527720.07913,25129.527578,19019.782394,21.0,496791.00262,23656.71441,8292.0033324
E01000003,City of London 001C,E02000001,City of London 001,E09000001,City of London,574.0,5150945.0,8973.771777003485,8048.5,574.0,4713813.0,8212.217770034844,7530.0,572.0,4754802.0,8312.59090909091,7134.5,569.0,4616795.0,8113.875219683656,7247.0,569.0,4494911.0,7899.667838312829,6792.0,554.0,4500331.0188,8123.3411892,7113.7487636,551.0,4337086.0534,7871.2995525,6885.2621167,546.0,4154315.5292,7608.6365003,7082.0969337,545.0,4164983.185,7642.1709816,6908.0118694,549.0,4320963.4026,7870.6072907,7059.347181,546.0,4329569.8192,7929.6150535,6967.2991038
E01000005,City of London 001E,E02000001,City of London 001,E09000001,City of London,488.0,3823982.0,7836.0286885245905,4573.5,496.0,3751048.0,7562.596774193548,3871.5,498.0,3793394.0,7617.25702811245,3744.5,483.0,3612001.0,7478.262939958592,4019.0,466.0,3420287.0,7339.671673819743,4224.0,421.0,3005846.1355,7139.777044,4169.1394659,429.0,3145203.8635,7331.4775373,4058.3580613,414.0,2858934.7181,6905.6394157,4423.3432245,411.0,2872655.7864,6989.4301371,4453.016815,410.0,2851574.6785,6955.0601916,4268.0514342,411.0,2793148.575,6795.9819344,4323.8946487
E01000006,Barking and Dagenham 016A,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,404.0,6776707.0,16774.02722772277,16063.0,404.0,6455041.0,15977.824257425742,15512.5,405.0,6439204.0,15899.26913580247,15261.0,405.0,6310476.0,15581.422222222222,15166.0,405.0,6098198.0,15057.27901234568,14707.0,404.0,6003819.9802,14860.940545,14217.111771,404.0,6126439.1691,15164.453389,14852.126607,407.0,6474528.1899,15907.931671,15491.592483,405.0,6418119.6835,15847.209095,15302.670623,404.0,6491753.0631,16068.695701,15182.987141,402.0,6655027.0721,16554.793712,15671.888052
E01000007,Barking and Dagenham 015A,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,408.0,3863506.0,9469.377450980392,7266.5,399.0,3658763.0,9169.832080200502,7034.0,472.0,3831608.0,8117.813559322034,6546.0,479.0,3896439.0,8134.528183716076,6284.0,486.0,4182798.0,8606.58024691358,6471.0,473.0,3897021.4075,8238.9458933,6278.9317507,471.0,3851644.906,8177.590034,6177.0524233,473.0,3980767.5569,8415.9990632,6523.2443126,474.0,3790561.82,7996.9658649,6198.8130564,487.0,3953543.0267,8118.1581657,6471.810089,486.0,3979751.5954,8188.789291,6652.7915661
E01000008,Barking and Dagenham 015B,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,462.0,4355704.0,9427.930735930737,8495.0,453.0,3957076.0,8735.26710816777,7865.0,446.0,3644851.0,8172.311659192825,7581.0,434.0,3694280.0,8512.165898617512,7443.0,425.0,3609578.0,8493.124705882354,7751.0,367.0,3605346.1919,9823.8315855,8675.5687438,365.0,3571121.6617,9783.8949636,8666.6666667,364.0,3511239.367,9646.2619972,8710.1879327,362.0,3315732.9377,9159.4832533,8055.8852621,362.0,3643319.4857,10064.418469,8639.4658754,353.0,3482994.8774,9866.8410123,8969.1530813
E01000009,Barking and Dagenham 016B,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,586.0,8986478.0,15335.286689419796,13685.0,589.0,8545633.0,14508.714770797962,12461.0,587.0,8034555.0,13687.487223168655,12070.0,587.0,7986602.0,13605.795570698467,11765.0,586.0,7714711.0,13165.035836177474,11562.0,576.0,7626947.5302,13241.228351,11562.31454,578.0,7752347.181,13412.365365,12078.140455,576.0,7969292.7794,13835.577742,12115.727003,571.0,7977909.9901,13971.821349,12276.953511,574.0,8148404.55,14195.826742,12208.704253,575.0,8273360.1528,14388.45244,13011.729278
E01000010,Barking and Dagenham 015C,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,719.0,9256986.0,12874.806675938804,11130.0,707.0,8611805.0,12180.770862800566,10413.0,705.0,8236570.0,11683.078014184397,10103.0,701.0,8178013.0,11666.20970042796,9729.0,696.0,8145148.0,11702.798850574713,9767.0,678.0,8133672.0791,11996.566488,9978.7339268,695.0,7917681.5035,11392.347487,9553.9070227,697.0,7881184.9654,11307.295503,9875.3709199,711.0,8282983.185,11649.76538,9581.6023739,699.0,8360462.908,11960.605019,10050.445104,696.0,8204946.4705,11788.716193,10310.237856
E01000011,Barking and Dagenham 016C,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,460.0,7666311.0,16665.89347826087,15885.0,463.0,7477413.0,16149.92008639309,15249.0,464.0,6953812.0,14986.663793103447,14298.0,464.0,6850710.0,14764.461206896553,13925.0,465.0,6894753.0,14827.425806451613,13687.0,462.0,7041440.4144,15241.213018,14044.510386,462.0,6989929.7725,15129.718122,14210.682493,461.0,6866002.9674,14893.715764,14061.32542,454.0,6805348.1701,14989.753679,14010.880317,457.0,7173692.3838,15697.357514,14843.71909,459.0,7212169.3446,15712.787243,15081.577396
