,LSOA21NM,OBJECTID,LSOA21CD,SHAPE_Leng,SHAPE_Area,geometry
0,City of London 001A,1,E01000001,2635.767993032324,129865.31443527239,"POLYGON ((532152 181867, 532309 181915, 532293 181824, 532306 181820, 532285 181770, 532270 181775, 532251 181720, 532269 181714, 532249 181656, 532275 181625, 532213 181477, 532282 181460, 532255 181384, 532243 181384, 532248 181332, 532228 181326, 532228 181279, 532188 181280, 532187 181263, 532166 181284, 532122 181289, 532124 181306, 532092 181311, 532093 181335, 532074 181338, 532080 181457, 532019 181452, 532015 181469, 531948 181472, 531937 181494, 531970 181527, 531952 181548, 531986 181584, 532005 181571, 532052 181600, 532064 181562, 532097 181570, 532095 181649, 532108 181651, 532080 181713, 532100 181735, 532085 181742, 532072 181821, 532021 181804, 532004 181843, 532038 181856, 532022 181893, 532083 181912, 532093 182012, 532105 182012, 532152 181867))"
1,City of London 001B,2,E01000002,2707.81682069617,228419.78230394953,"POLYGON ((532634 181926, 532619 181845, 532747 181787, 532681 181591, 532655 181568, 532614 181568, 532602 181524, 532567 181543, 532575 181574, 532524 181585, 532512 181511, 532478 181474, 532477 181406, 532460 181405, 532456 181348, 532422 181289, 532353 181185, 532300 181200, 532306 181232, 532268 181238, 532280 181315, 532248 181332, 532243 181371, 532282 181460, 532213 181477, 532275 181625, 532249 181656, 532269 181714, 532251 181720, 532270 181775, 532285 181770, 532306 181820, 532293 181824, 532309 181915, 532282 181909, 532341 181928, 532332 181957, 532359 181974, 532437 182004, 532446 181956, 532634 181926))"
2,City of London 001C,3,E01000003,1224.573160152973,59054.2046107525,"POLYGON ((532154 182165, 532158 182151, 532255 182180, 532310 182002, 532360 182015, 532382 181987, 532422 181994, 532332 181957, 532341 181928, 532152 181864, 532057 182151, 532136 182198, 532154 182165))"
3,City of London 001E,4,E01000005,2275.8053443589747,189577.70949308024,"POLYGON ((533619 181402, 533766 181226, 533843 180794, 533820 180771, 533728 180751, 533700 180760, 533649 180734, 533632 180772, 533608 180767, 533569 181060, 533575 181143, 533319 181386, 533349 181402, 533413 181505, 533402 181509, 533440 181591, 533499 181582, 533540 181494, 533619 181402))"
4,Barking and Dagenham 016A,5,E01000006,1966.0926067129674,146536.99571952064,"POLYGON ((545127 184311, 545296 184162, 544981 184121, 544832 184131, 544697 184170, 544720 184223, 544694 184245, 544749 184315, 544778 184297, 544818 184346, 544696 184444, 544793 184547, 544765 184578, 544788 184605, 545127 184311))"
5,Barking and Dagenham 015A,6,E01000007,2949.6850525930126,200093.99270628765,"POLYGON ((544173 184701, 544319 184541, 544358 184584, 544372 184572, 544366 184523, 544489 184490, 544542 184527, 544569 184517, 544567 184493, 544394 184257, 544256 184349, 544211 184317, 544174 184361, 544136 184337, 544189 184296, 544061 184212, 544039 184208, 544013 184275, 544002 184310, 544016 184330, 543953 184307, 543960 184283, 543918 184286, 543907 184256, 543867 184246, 543861 184284, 543788 184263, 543813 184336, 543803 184382, 543856 184401, 543823 184485, 543842 184534, 543830 184539, 543889 184593, 543915 184555, 544017 184632, 544175 184526, 544191 184548, 544133 184599, 544137 184674, 544173 184701))"
6,Barking and Dagenham 015B,7,E01000008,4203.499642571419,193646.48092790123,"MULTIPOLYGON (((543720 184613, 543764 184578, 543741 184566, 543748 184551, 543785 184571, 543806 184564, 543845 184621, 543867 184627, 543889 184593, 543830 184539, 543842 184534, 543823 184485, 543856 184401, 543803 184382, 543813 184336, 543788 184279, 543807 184140, 543826 184144, 543836 184126, 543823 184112, 543803 184126, 543750 184069, 543685 184275, 543679 184250, 543619 184245, 543612 184320, 543643 184469, 543592 184555, 543634 184579, 543639 184614, 543652 184606, 543685 184640, 543720 184613)), ((543582 184798, 543566 184733, 543574 184659, 543546 184596, 543577 184529, 543542 184484, 543541 184455, 543592 184429, 543608 184405, 543589 184244, 543611 184221, 543665 184223, 543690 184204, 543731 184059, 543566 183952, 543522 183940, 543549 184024, 543597 184077, 543452 184322, 543424 184411, 543420 184509, 543522 184863, 543596 184833, 543582 184798)))"
7,Barking and Dagenham 016B,8,E01000009,2158.7879828364044,127959.92747248802,"POLYGON ((544603 184628, 544630 184606, 544645 184612, 544673 184653, 544667 184681, 544683 184681, 544788 184605, 544765 184578, 544793 184547, 544696 184444, 544818 184346, 544778 184297, 544749 184315, 544694 184245, 544720 184223, 544697 184170, 544594 184216, 544441 184320, 544567 184493, 544569 184517, 544542 184527, 544489 184490, 544366 184523, 544372 184572, 544357 184585, 544411 184647, 544434 184628, 544494 184703, 544603 184628))"
8,Barking and Dagenham 016C,9,E01000011,1543.085425471192,91632.28152544744,"POLYGON ((544608 184728, 544667 184681, 544673 184653, 544645 184612, 544630 184606, 544500 184704, 544434 184628, 544411 184647, 544319 184541, 544180 184701, 544254 184776, 544191 184845, 544338 184928, 544608 184728))"
9,Barking and Dagenham 015D,10,E01000012,2301.220123802721,140428.5620557287,"POLYGON ((544114 184902, 544130 184883, 544158 184898, 544202 184824, 544254 184776, 544137 184674, 544134 184595, 544191 184548, 544175 184526, 544017 184632, 543915 184555, 543867 184627, 543842 184619, 543806 184564, 543785 184571, 543748 184551, 543741 184566, 543764 184578, 543685 184640, 543652 184606, 543639 184614, 543634 184579, 543587 184561, 543570 184602, 543597 184654, 543587 184769, 543619 184826, 543766 184778, 543780 184808, 543868 184797, 544023 184838, 544114 184902))"
10,Barking and Dagenham 013A,11,E01000013,3326.6802746042335,207829.95947010675,"POLYGON ((549344 185055, 549311 185039, 549320 184990, 549285 184981, 549301 184875, 549211 184860, 549183 184726, 548542 184642, 548539 184711, 548600 184719, 548638 184766, 548677 184776, 548676 184832, 548716 184872, 548763 184884, 548760 184918, 548783 184951, 548712 184999, 548695 185049, 548752 185068, 548790 185044, 548804 185050, 548865 185161, 548918 185123, 548891 185073, 548921 185036, 548893 184991, 548901 184976, 548996 184933, 549017 184957, 548998 185004, 549047 185006, 549080 184983, 549131 184995, 549157 184980, 549196 185000, 549192 185048, 549263 185060, 549262 185105, 549235 185151, 549252 185206, 549279 185211, 549272 185240, 549324 185244, 549372 185195, 549325 185186, 549321 185170, 549344 185055))"
11,Barking and Dagenham 013B,12,E01000014,4029.9066350913963,341219.22340053716,"POLYGON ((548701 185257, 548763 185222, 548851 185241, 548903 185211, 548932 185246, 548949 185244, 548979 185212, 548976 185182, 548992 185170, 549021 185200, 549077 185152, 549055 185124, 549069 185111, 549050 185100, 549088 185062, 549042 185003, 548998 185004, 549017 184957, 549004 184933, 548901 184976, 548893 184991, 548921 185036, 548891 185073, 548918 185123, 548865 185161, 548804 185050, 548790 185044, 548752 185068, 548695 185049, 548712 184999, 548783 184951, 548760 184918, 548763 184884, 548716 184872, 548676 184832, 548677 184776, 548638 184766, 548600 184719, 548539 184711, 548542 184642, 548100 184582, 548079 184684, 548097 184712, 547932 184918, 548267 184979, 548389 185143, 548599 185023, 548648 185111, 548620 185129, 548688 185258, 548701 185257))"
12,Barking and Dagenham 009A,13,E01000015,3294.545532514675,280629.5709386315,"POLYGON ((549679 185422, 549680 185412, 549766 185417, 549795 185247, 549904 185055, 549985 184990, 549987 184927, 549465 184772, 549183 184726, 549211 184860, 549301 184875, 549285 184981, 549320 184990, 549311 185039, 549346 185057, 549325 185186, 549437 185208, 549465 185170, 549508 185184, 549542 185142, 549604 185132, 549632 185098, 549657 185093, 549709 185199, 549652 185240, 549643 185328, 549601 185288, 549485 185384, 549572 185467, 549674 185473, 549679 185422))"
13,Barking and Dagenham 009B,14,E01000016,2759.5797516987654,198775.11463118464,"POLYGON ((549463 185796, 549561 185769, 549604 185773, 549620 185478, 549637 185477, 549572 185467, 549519 185403, 549482 185383, 549438 185420, 549437 185484, 549423 185484, 549421 185507, 549351 185492, 549334 185536, 549284 185538, 549283 185514, 549230 185464, 549230 185448, 549121 185356, 549064 185353, 549074 185233, 549031 185188, 549014 185398, 548966 185442, 548970 185596, 549024 185602, 549036 185639, 549094 185647, 549115 185609, 549186 185605, 549186 185748, 549142 185766, 549141 185788, 549463 185796))"
14,Barking and Dagenham 009C,15,E01000017,2233.130298268678,158371.8570186008,"POLYGON ((549185 185652, 549186 185605, 549115 185609, 549094 185647, 549036 185639, 549024 185602, 548970 185596, 548966 185442, 549014 185398, 549030 185197, 548992 185170, 548976 185182, 548979 185212, 548932 185246, 548865 185334, 548884 185367, 548698 185460, 548664 185644, 548663 185739, 549141 185788, 549142 185766, 549186 185748, 549185 185652))"
15,Barking and Dagenham 009D,16,E01000018,2627.6611978276424,173980.61953044237,"POLYGON ((549347 185496, 549421 185507, 549423 185484, 549437 185484, 549438 185420, 549601 185288, 549643 185328, 549652 185240, 549709 185199, 549657 185093, 549632 185098, 549604 185132, 549542 185142, 549508 185184, 549465 185170, 549437 185208, 549372 185195, 549324 185244, 549272 185240, 549279 185211, 549252 185206, 549235 185151, 549262 185105, 549263 185060, 549192 185048, 549196 185000, 549157 184980, 549131 184995, 549080 184983, 549042 185003, 549088 185062, 549050 185100, 549069 185111, 549055 185124, 549077 185152, 549035 185192, 549074 185233, 549064 185353, 549121 185356, 549230 185448, 549230 185464, 549283 185514, 549284 185538, 549334 185536, 549347 185496))"
16,Barking and Dagenham 023A,17,E01000019,3146.2172325090455,183076.98711353942,"POLYGON ((547080 186770, 547106 186771, 547142 186741, 547175 186773, 547209 186740, 547242 186765, 547275 186726, 547353 186757, 547409 186725, 547389 186679, 547338 186706, 547309 186675, 547255 186697, 547228 186640, 547242 186624, 547360 186622, 547372 186559, 547251 186533, 547230 186475, 547257 186432, 547201 186335, 547253 186277, 547147 186172, 547128 186202, 547137 186216, 547008 186306, 546932 186189, 546898 186166, 546881 186174, 546876 186237, 546805 186233, 546799 186250, 546824 186304, 546868 186317, 546865 186402, 546990 186401, 547094 186537, 546883 186600, 546955 186783, 547018 186757, 547052 186790, 547080 186770))"
17,Barking and Dagenham 023B,18,E01000020,3214.3115202462145,187237.02292661078,"POLYGON ((547429 186682, 547565 186437, 547599 186338, 547549 186185, 547418 185923, 547380 185810, 547379 185754, 547365 185784, 547354 185762, 547294 185773, 547310 185803, 547265 185839, 547294 185848, 547297 185874, 547272 185881, 547262 185838, 547243 185837, 547230 185903, 547255 185954, 547284 185962, 547348 185926, 547356 186000, 547418 186012, 547434 186044, 547422 186067, 547430 186112, 547315 186175, 547296 186217, 547257 186194, 547214 186232, 547253 186287, 547201 186335, 547257 186432, 547230 186475, 547251 186533, 547372 186559, 547360 186622, 547242 186624, 547228 186640, 547255 186697, 547309 186675, 547338 186706, 547389 186679, 547411 186726, 547429 186682))"
18,Barking and Dagenham 008A,19,E01000021,2793.6365596052474,170152.77065346617,"POLYGON ((546799 186250, 546805 186233, 546876 186237, 546881 186174, 546898 186166, 546932 186189, 547008 186306, 547097 186239, 547063 186191, 547062 186160, 547024 186112, 546959 186072, 546948 186039, 546828 185890, 546864 185862, 546873 185795, 546816 185747, 546895 185739, 546838 185682, 546657 185725, 546677 185782, 546657 185823, 546727 185928, 546713 185975, 546662 185969, 546660 186017, 546616 186051, 546706 186165, 546666 186195, 546662 186220, 546562 186297, 546590 186332, 546601 186387, 546868 186347, 546868 186317, 546824 186304, 546799 186250))"
19,Barking and Dagenham 008B,20,E01000022,1940.9419682340197,128262.99555040326,"POLYGON ((547133 186194, 547140 186169, 547214 186232, 547257 186194, 547296 186217, 547315 186175, 547430 186112, 547422 186067, 547434 186044, 547418 186012, 547356 186000, 547348 185926, 547284 185962, 547255 185954, 547230 185903, 547121 185889, 547105 185893, 547093 185951, 547033 185939, 547039 185871, 546972 185860, 546945 185876, 546863 185859, 546828 185890, 546948 186039, 546959 186072, 547024 186112, 547062 186160, 547081 186230, 547097 186239, 547137 186216, 547133 186194))"
20,Barking and Dagenham 008D,21,E01000024,2342.0555592657724,128635.21643010306,"POLYGON ((547095 185942, 547105 185893, 547165 185887, 547230 185903, 547243 185837, 547262 185838, 547272 185881, 547297 185874, 547294 185848, 547265 185839, 547310 185803, 547294 185773, 547354 185762, 547365 185784, 547386 185740, 547332 185732, 547267 185450, 547193 185460, 547113 185571, 547108 185546, 547052 185559, 547059 185613, 547009 185660, 547079 185674, 547116 185709, 546816 185747, 546873 185795, 546863 185859, 546945 185876, 546972 185860, 547039 185871, 547033 185939, 547095 185942))"
21,Barking and Dagenham 008E,22,E01000025,2475.4112337356937,153352.04029237025,"POLYGON ((546899 185738, 547116 185709, 547079 185674, 547009 185660, 547059 185613, 547048 185568, 547058 185553, 547108 185546, 547113 185571, 547193 185460, 547267 185450, 547230 185300, 546644 185450, 546651 185628, 546673 185623, 546703 185575, 546815 185550, 546839 185596, 546831 185620, 546774 185621, 546705 185649, 546691 185670, 546700 185709, 546838 185682, 546899 185738))"
